stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.11,377.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.25,0,0,0,0,0,0,0,0,0
  5-6,28.16,534.17,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,17.21,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.4,36.89,0,18.2,0,0,0,33.04,0,0,0,0,0,16.55,0,0,0,0,0,0,0,0,0,0,0,289.83,15.05,0,0,96.2,0,8.31,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.28,0,0,0,33.76,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,293.91,10.39,0,0,57.67,0,3.1,0,27.04,0,0,0,0,0,0,0
 14-21,0,0,0,1.97,25.72,1.19,0,4.03,0,0,0,5.88,1,0,0.89,0.82,0.81,0,0,0,0,15.7,0,0,14.44,66.6,4.97,0,2.07,0,0,2.29,7.77,1.05,1.97,23.91,0,0,6.44,0,0
 24-34,0,0,0,0,19.24,0.68,0,23.61,0,1.59,2.07,8.51,0,0,1.25,0,0.62,0,3.12,0,1.09,51.21,1.48,0.91,24.49,234.09,0.73,0.75,1.61,0,0,10.74,0,0,2.81,73.81,0,0,19.93,0,2.36
 36-46,0,0,0,0,30.26,6.7,0,33.82,6.79,2.82,0.78,3.92,0,0,1.45,0,0,0,0.72,13.98,0,43.01,0,0,17.5,164.35,1.68,2.12,3.35,0,0,28.12,0,1.41,0,51.22,0,0,7.07,0,12.48
 48-58,0,0,0,0,31.64,2.36,0,78.53,0,5.93,3.84,33.55,0,0,0.48,1.49,0,5.43,5.71,0,0.41,128.27,1.73,10.23,14.9,236.38,7.74,2.31,8.07,0,1.29,17.34,0,0,0,72.54,0,0,8.62,0,7.66
 60-70,0,0,0.7,0,60.18,0,0,91.52,0,15.38,13.57,41.49,5.25,0,0.7,0.67,0,12.64,1.2,0.87,0,173.3,0,18.46,15.36,170.26,3.53,1.51,11.21,0,1.9,22.65,0,3.48,0,39.89,2.05,3.58,4.43,3.97,0
 72-82,0,0,0,0,19.01,5.95,0,53.4,0,0.7,17.02,59.84,3.86,0,3.53,3.68,6.54,7.66,2.07,0,0,252.08,1.86,8.86,20.64,160.18,1.05,6.11,5.07,0,1.08,9.33,0,0.55,0,15.74,1.3,6.86,26.67,5.61,7.03
 84-94,0,0,4.58,0,20.9,2.3,0,44.15,0,6.11,9.5,60.4,0,0,3.65,2.66,2.39,0.64,4.31,0,0,168.82,0,10.79,15.76,83.9,2.42,3.7,2.93,0,0,32.91,0,2.45,0,11.55,2.17,5.52,16.76,4.07,0.88
 96-106,1.12,0,1.04,0,35.75,3.45,0,76.43,0.71,5.68,7.82,89.7,14.87,0,16.36,10.97,0.85,11.07,2.5,0.6,0.69,226.79,0,22.41,20.56,130.58,3.49,3.61,13.93,0,2.01,9.58,0,0.59,0,10.09,4.3,6.19,25.78,8.32,8.01
108-118,0,0,0,0,19.72,3.74,0,37.72,6.29,3.81,3.02,66.67,2.5,0,3,5.68,0,6.1,1.64,3.31,3.69,276.91,0,10.12,16.81,118.97,6.7,4.57,13.07,0,7.12,9.83,0,0.45,0,9.85,1,6.83,17.7,8.38,1.28
120,0,0,3.52,0,36.17,1.2,4.05,86.25,0,13.86,8.03,120.23,1.26,0,14.39,11.38,2.77,0,14.14,1.43,0,216.78,0,2.33,11.21,182.77,5.63,5.25,15.56,0,2.54,29.67,0,2.35,0,21.68,1.1,5.29,22.49,19.38,18.56
