stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,4.39,0,0,7.25,0,0,0,1.8,2.04,0,0,0,0,0,0,0,2.51,0,1.1,53.08,0,0,0,0.92,2.11,1.49,1,4.7,23.8,0,0,0,0
 24-34,3.29,1.35,0,0,6.69,0,1.2,0,2,1.39,0,0,0,0,0,0,0,8.47,0,5.23,142.49,0,1.79,2.46,0,0,0,0,0.61,31.65,0,0,1.44,2.64
 36-46,0,0,0,0,12.56,0.58,0,0,2.83,0,0,0,0,0.86,0,0,0,6.28,0,0.63,118.3,11.54,2.71,0,0,1.62,0,0,0,22.54,0,0,0,0.68
 48-58,0,6.78,0,0,28.89,0,0,0.41,8.86,0,0.89,0,0,0,0,0,0.83,7.09,0.56,0.89,144.29,0,0,0.77,0,0,0,0,0,38.99,0,0,0.41,0
 60-70,0,0.79,0,0,51.43,0,1.4,0,16.79,0,0,0,5.18,0,0.59,0,0,1.94,0,0.9,134.83,0,0.96,0,0,0,0,1.84,0,16.07,0,0.65,1.72,0
 72-82,0,0.67,1.45,0,63.29,0,0,0,10.05,0,0,0.5,0,0,0,0,0,21.67,0,0.58,135.49,0,1.14,0.49,0,0,0,0,0,8.83,0,0,0.6,0
 84-94,0,0,0,0,44.29,0,0.63,0,2.34,0.99,0,0,1.04,0,0,0,0,4.76,0,0,95.54,0,0,0,0,2.47,0,0,0,6.61,0.55,0,10,0
 96-106,0,1.48,0,6.75,17.19,0,0,0,1.68,0,0,0.89,0,0,0,0,0,10.68,0.59,3.38,28.91,0,2.54,0.56,0,0,0,0,0,7.45,0,0,2.1,0
108-118,0,0.85,0,0,9.23,0,0,0.66,7.55,0,0,0.76,0,0,0,0,0,4.64,1.39,0,89.94,0,1.62,1.58,0,0.84,0,0,0,1.83,0.51,0,0,0.6
120,0,1.35,0,0,46.12,2.98,0,0,4.16,0,0,17.82,0,0,0,5.59,0,3.84,0,1.5,183.56,0,0,3.06,0,0,0,0,0,10.6,0,0,0,0
