stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.68,121.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.31,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,89.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.99,8.45,0,0,27.28,0,0,0,11.02,0,0,0,0,0,0,0,0
 14-21,0,0,20.53,2.78,5.85,0,0,0,2.82,1.29,0,0,0,3.16,0,0,0,0,3.72,0,0,2.17,95.8,0,2.81,0.93,1.63,0,1.07,1.37,0,0,2.76,43.57,0,0,0,0,0
 24-34,0,0,5.67,0,9.55,0,0,0,12.76,0,0,1.22,0,1.47,0.92,0,0,0,2.65,0,0,0.6,638.88,0,53.35,0.73,0,0,3.06,0,0,0,0.6,105,0,0,6.36,0,0
 36-46,0,0,1.04,0,94.28,0,0,0,53.38,0.56,0,0.56,0,0.57,0,0,0,0,15.73,0,0,2.75,1522.55,0,41.29,7.51,0,0,2.68,0,1.34,6.59,0,208.42,0,0,0.56,0,0
 48-58,0,0,6.75,0,439.21,0.5,0.63,0,136.94,0,0,0,0.69,8.75,4.01,0.77,2.84,0,11.81,0,0.79,3.04,1658.46,4.37,15.75,2.56,0,0,2.93,0,0,1.36,0,162.16,0,0,0,0,2.86
 60-70,0,0,5.91,0.81,739.41,0,5.29,0,160.74,0.61,0,0,0,12.17,13.14,0,0,0,29.52,0,0,8.37,2684.97,0,13.73,14.65,0,0.66,3.98,0,0,1.01,0,182.5,0,0,0,0,2.79
 72-82,0,0,31.26,0,481.4,0,0,4.55,191.74,0,0,0,3.27,5.79,17.56,0.65,1.92,0,55.08,0.59,0,4.61,2537.04,0.72,10.03,6.71,0,0,6,0,0,0,0,98.51,1.83,0,2.29,1.96,13.45
 84-94,0,0,22.1,0,492.04,0,16.31,0,116.12,4.46,0,0,11.28,9.12,25.66,3.64,0,19.45,49.95,0.59,0.66,1.04,1643.51,0,6.32,12.27,0,0.77,45.37,0,0,0.63,0,108.91,1.49,0.71,1.18,1.83,0
 96-106,0,0,32.47,0,236.35,0,2.57,0,163.54,1.89,0,0,64.43,13.57,3.91,8.05,0,0,27.3,0,0.93,2.14,1425.15,0,4.89,13.4,0,0,39.38,0,0,0,0,26.64,2.83,0,0.71,0,2.56
108-118,0,0,31.93,1.3,266.4,0,3.16,1,197.94,5.18,0,0,141.76,11.94,8.06,1.36,0,0,59.54,0.53,0.62,2.55,1734.55,0.69,9.96,12.86,0,0,26.61,0,4.19,0.48,0,33.24,2.38,0,4.13,0,0
120,0,0,15.69,0,192.87,0,6.67,0,318.35,2.83,0,0,202.9,13.46,16.62,6.03,0,0,15.63,0,2.35,1.03,1739.62,0,0,2.84,0,0,38.78,0,0,0,0,45.25,0,0,0,0,4.69
