stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.63,0,0,0,0,0,0,0,0,0,0,0,20.62,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,3.54,0,0,6.8,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.72,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0
 24-34,0,0,0,0,0,100.84,0,0,0,0,0,0,0,7.12,0.9,0,0,22.58,0,0,1.99,0,0,0,0,0.82,0.6,0,0,0,0,0
 36-46,0,0,0,0.71,0,100.25,0,0,0,0,0,0,0,10.66,0,0,0,28.57,0,2.12,0,0,0,0,0,0,2.12,0,0,3.2,0,8.29
 48-58,0,0,0,0,0,236.45,0,1.84,0,1.09,0,0,0,15.02,0.77,0,0,24.45,0,0,0,0,1.06,0,0,0,12.15,0,0,0,0,0.44
 60-70,0,0,3.03,0,0,995.76,0,1.34,0,0,0,0,0,0,5.54,0,5.16,22.1,0,0,0,0,0.76,0,0,0,0,0,0,0,0,1.18
 72-82,0,0,11.04,0,0,2544.09,0,19.91,4.74,0,0,0,0,6.15,15.27,0,0,96.89,0,7.1,0,0,3.37,0,3.15,0,1.7,0,0,5.97,0,0.78
 84-94,0,0,1.85,0,0,2363.23,1.46,20.42,0,0.55,0.82,2.06,0,0,5.33,0,0.83,66.34,0,0,0,0,12.15,0,1.18,0,12.63,0,0,2.97,2.97,0
 96-106,0,0,9.62,6.41,0.98,2577.63,0,17.13,0,1.73,0.81,0,18.31,0.65,17.53,1.06,1.64,93.69,0,1.3,0,0,5.47,0,0,0,1.5,4.97,1.58,0,0,0
108-118,0,0,11.97,4.16,0.92,3117.02,0,49.18,0.75,0.57,0.85,0,0,0,11.69,15.09,3.43,55.02,0,2.64,0,0,0.5,0,0.51,0,2.67,0.71,0,0,0.65,0
120,0,0,13.71,3.79,0,1417.23,0,15.13,0,0,0,0,0,0,37.81,0,4.64,57.27,0,0,0,0,3.33,1.12,0,0,8.06,0,0,0,0,0
