stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.63,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,0,0
 14-21,0,0,0.99,0,0,2.04,0,0,0,0,0,0,1.69,4.49,2.33,0,0,1.19,3.08,0,2.28,3.61,0
 24-34,0,0,0,0,0,1.79,0,0,0,0,0,6.18,2.4,2.27,3.55,0.69,0,0,0,1.39,0.67,8.57,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,5.3,6.58,2.11,0,0,0,0,0,0,2.57,0
 48-58,0,0,0,0,0,4.68,0.51,0,0,0,0,0,2.97,2,3.36,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.63,1.79,0,0,0,0,0,2.6,1.93,0,3.13,0,0,0,0,0,5.56,0
 72-82,0,0,0,0,0,1.16,1.2,0,0,0,0,0,0,0.67,0,0,1.53,0,0,0.73,0,0,0
 84-94,0,0,0,0,0,3.79,0.7,0,0.99,0,0,0,8.61,0,1.5,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.86,0,3.02,0,0.72,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0
108-118,0,0.93,0,0,3.18,1.43,1.08,0,0,0,0,0,4.13,0.41,1.78,0,0,0,0,4.5,0,0,0.61
120,0,0,0,0,0,0,0,0,0,0,1.32,0,0,2.22,36.79,0,0,0,0,0,0,0,0
