stage,axial,epidermis,erythrocytes,eye,glial,gut,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature
  5-6,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,16.95,0,0,0,0,0,0
 24-34,0,0,0,0.69,0.73,0,0,0,0,0.65,5.85,0,0,0,0,0,0
 36-46,0,0.62,0,1.09,0,0,0,0,0.72,0,2.67,0,0,0,0,0,0.98
 48-58,0,0,0,0,0.94,0,0,0,0.42,0,2.85,0,0,0,0.61,1.34,0
 60-70,0,0,0,0,11.6,0,0,0,0,0,4.22,0,1.03,0,0,0.72,0
 72-82,0,0,1.11,3.38,1.56,0,0,0,0,0,0.68,0,0,0,0,0,0
 84-94,0,0,1.1,0,4.09,0.73,0,0,0,0,7.13,0.61,7.22,0,0,1.73,0
 96-106,0,0,0,0,1.6,0,0,3.91,0,0,0,0,0,0.8,0,0,0
108-118,0,0,0,0.91,2.94,0,0.64,0,0,0.92,3.19,0,0,0,0,0,2.5
120,0,0,0,0,0,0,0,0,5.89,1.64,26.09,0,0,0,0,0,0
