stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,1.19,0,0,0,0
 24-34,0,0,0,0,1.83,0,0,0,0.74,0,0,0,0,0,0,376.95,0,9.52,0,0,0,4.54,0,0,0,0
 36-46,0,7.82,0,0,0.84,0,0,1.59,0,0,0,0,0.8,0,0.58,1618.32,0,7.05,0,0,0,13.23,0,0,0,0
 48-58,0,0,0,0,83.92,0.49,0,0,0,0,0,0,30.3,0,0.58,1188.58,0,0,0,0,1.11,3.66,0,0,0,0
 60-70,0,0,0,0,5.23,0,0,0,0,0,0,0,2.34,0,0,428.98,0,0,0,0,0,1.2,0,0,0,0
 72-82,0,2.58,0,0,40.46,0,1.03,6.03,0,0.68,0,0,44.57,0,2,4070.24,0,0,2.19,16.68,0,2.17,54.69,0,14.54,1.96
 84-94,1.16,0,2.48,0,92.22,0,0,0,0,0,0,0,7.27,2.95,0,299.55,0,0,0,0,0,0,0,0,0,0
 96-106,0.81,4.46,1.75,0,78.09,0,0,6.72,0,1.52,0.66,120.38,6.17,0,0.8,3975.79,0,0,0,0,0,8.24,0,0.8,0,0
108-118,0,0,0,0,2.4,0,0,3.39,0,0,0,0,2.12,0,0,1442.91,0.67,0,1.14,0.58,0,0,0,0,0.57,13.23
120,0,1.66,0,1.23,22.71,0,0,18.94,0,0,0,0,2.89,0,0,15623.13,0,0,0,10.17,0,0,0,0,0,0
