stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,10.75,176.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,288.56,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.6,0,0,25.98,0,0,0,0,4.61,0,0,0,0,128.78,10.13,0,32.87,0,0,0,0,0,0,0
 10-12,0,4.94,15.41,0,0,3.34,0,0,0,0,0,0,0,0,0,96.51,6.84,0,15.71,0,0,14.46,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,7.06,0,1,0,0,0.89,0,0,2.3,0,0
 24-34,0,0,0,0,0,4.61,0,0,0,0,0,0,0.72,0,2.71,24.57,0,1.06,0,0.67,0,0,1.38,4.34,0,1.82
 36-46,0,0,0,0,0,5,0,0,0,1.14,0,0,0.93,0,0,19.53,0,0,0,0,0,0,0,2.87,0,0
 48-58,0,0,0,0,0,7.13,0,0,0.78,1.23,0,0,2.46,0,1.3,20.49,0,0,0,4.01,0,0,0,1.91,0,0
 60-70,0,0,0,0,0,2.99,0,1.37,0,1.91,0,0,1.8,5.2,8.29,10.86,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.78,0,0,0,0,0,0.91,0,0,1.18,0,0,4.82,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,3.91,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.49,0.42,2.21,0,0,7.19,0,0,7.65,0,0.44,2.03,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.55,0,20.42,0,0,0,7.98,0,5.59,6.66,0,1.26,18.25,0,0,0,0,0,0,0,0,3.8,1.35
