stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,100.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,13.03,0,0,3.51,0,0,0,0,0,0,0
 10-12,0,7.17,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,42.52,0,0,21.06,0,0,0,0,0,0,0
 14-21,0,0,2.59,0,1.35,0,0,2.85,0.84,2.53,0,0,0,0,1.66,4.97,21.81,1.29,0,4.34,0,4.26,19.08,7.61,0,0,0
 24-34,0,0,0,0,2.57,0,0.71,0,0,0,0,0,0,0,0,1.82,24.43,0,0,0,0.6,0,2.53,3.7,0.64,0,0
 36-46,0,0,0.56,0,3.28,0,1.25,1.4,0,0,0,0,0,1.07,0,0.73,3.09,0,0.66,0,0.81,0,0,4.23,0,0,0
 48-58,0,0,9.64,0,1.91,0,0.42,0.71,0.39,0,0.77,0,0,0,1.87,0,8.5,0,0,0,2.38,0,0,0,0,0,0.63
 60-70,0,0,0,0,1.29,0,0,1.79,0,0,0,0,0,0,1.9,0,44.27,0,0,0,3.25,0,0,4.87,0,0,0
 72-82,0,0,0,0,0.8,0.5,0.59,3.76,0,0,0,0,0,0,14.71,0,11.32,0,2.38,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.37,0,0,0.62,0.6,0,0,1,0,0,1.39,0,7.8,0.62,0,0,2.28,0,0,15.91,0,0,0
 96-106,0,0,0.79,0,9.28,0.84,0,2.2,0,0,0,5.85,1.32,0,4.3,0,9.07,0,0,0,0,0,0,0,0,0.82,1.09
108-118,0,0,0.53,0.9,1.41,1.14,0.94,0,0,0,0,0,0.72,0,11.41,0,3.86,0,1.43,0,0,0,0,1.46,1.9,1.61,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,3.5,0,0,0,0,0,10.52,0,0
