stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.28,152.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,87.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.22,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,18.37,0,0,8.23,0,0,0,4.33,0,0,0,0,0,25.49,0,3.73,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,8.62,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.7,0,0,0,0,0.81,0,0,5.47,0.82,0,0,0.81,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0.79,0,0,1.19,0,0,0,0,0.67,0.75,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0.76,0,0,1.58,0,0,0,0,0,3.27,0,2.08,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0.64,0.4,0,0,0,0,0,0,0,0,0,0.88,0
 60-70,0,0,0,0,0,0,0,0,1.63,0,0,0,0,6.81,0,0,0,0,0,0,0,0,1.58,0,2.56,0
 72-82,0,0,0,0,0,0.72,0.56,0,0,0,0,0.88,0,15.53,0,0,3.97,0,0,0,0,0,0,1.74,2.71,1.49
 84-94,0,0,0,0,0,0,0.8,0,1.65,2.67,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,9.34,0
 96-106,0,0,0,0,0,0.59,0,0,1.29,2.29,0,0,0,22.5,0,1.2,7.21,0,0,0,0,0,0,0,10.02,0.69
108-118,0,0,2.35,0,0,15.19,1.46,1.36,0,2.32,0,0,6.16,45.21,0,1.13,4.02,0,0,4.75,0.83,0,0,0,6.59,1.09
120,0,0,0,0,3.12,5.32,22.38,0,4.67,3.6,0,0,6.26,109.09,0,0,7.27,0,0,0,0,0,0,0,0,2.27
