stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,mesenchyme,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature
  3-4,0,11.4,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.61,0,0,0,0,10.21,0,0,0,0
 24-34,0,0,0.64,0,0,0,0,0,0,0,0,0,0.81
 36-46,0,0,0.57,0,0,0,0,3.69,0,0,0,0,0
 48-58,0,0,0,0,0,0.46,0,1.65,0,0,0.45,0,0
 60-70,0,0,0,0,1.76,0,0,0.65,0,0,0,0,0
 72-82,0,0,0,0,1.64,0,0,0,0,1.49,0,0,0
 84-94,0,0,0,0,0,0,1.16,0,0,0,0,0.75,0
108-118,0,0,0.92,0,0,0,0,0.95,0,0,0,0,0
