stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.53,570.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.14,1304.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.29,8.9,0,0,0,0,18.22,0,0,0,0,0,0,0,0,0,0
  7-9,12.86,19.11,27.4,0,0,48.57,0,0,0,0,0,35.24,0,0,0,0,0,0,0,0,0,0,0,647.46,29.36,0,0,258.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.94,40.65,0,0,70.6,0,0,0,0,0,15.42,0,0,0,0,0,0,0,0,0,0,0,563.52,22.15,0,0,233.43,0,0,0,35.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.03,2.73,5.32,0,0,0,7.11,0,0,0,0,0,0,0,0,0,2.07,0,0,6,110.44,0,0,2.69,2.18,0,3.17,13.26,1.76,0,7.56,45.14,0,0,0,0,0
 24-34,0,0.83,0,5.53,0.87,13.45,0,0,0,2.39,0,0,0,0,0.94,0,0.78,0,0.62,25.52,0,1.52,6.71,185.3,0,2.45,5.08,0,0,3.61,0,3.23,0.78,5.73,39.25,0,0,2.64,0,0
 36-46,0,0,0,1.18,0,24.98,0,0,0,7.05,0,0,0.87,0,0,0.61,0,0,0,15.47,0.95,0.8,4.39,194.5,0,0,2.92,0,0,7.95,0,0.65,10.68,0,44.54,0,0,3.46,0,0
 48-58,0,0,0,4.49,0,56.78,0,0.4,1.12,17.38,0,0,0.45,0,0,2.34,2.21,0,4.5,29.34,0.49,1.43,6.76,190.64,0,2.02,1.04,0,0,5.4,0,0.43,0,0,26.31,0,0,1.76,0,0.55
 60-70,0,0,0,3.03,3.52,87.77,0,0,0,11.17,0,0,0.58,1.9,0,0,0,0,0,25.43,2.4,0,11.86,151.71,0.58,1.55,0,0,0,4.72,0,0,0,0,26.11,0,0,5.37,0,0
 72-82,0,0,0,3.29,0,51.99,0,0,2.2,16.58,0.63,0,0,2.18,0.93,0,0,0.79,0,40.32,0,0,1.9,101.49,0,1.78,3.87,0,2.82,1.04,0,0,0,0,11.07,0,0.52,4.5,3.32,0
 84-94,0,0,0,5.78,0,39.97,1.95,0,0.91,6.46,0,0,0,1.47,2.67,2.25,0,0,0,25.96,0,0,2,57.78,1.75,0,0.62,0,0,5.66,0,0,5.42,0,11.78,0.86,4.88,2.58,2.61,0
 96-106,0,0,0,1.69,0,22.02,0,0.69,0,20.93,2.59,0,0,1.21,0.67,6.49,0.75,0,0,10.09,1.17,1.94,0,37.22,0,0,9.55,0,0,1.25,0,0,0,0,4.42,0,0,0,0,0
108-118,0,0,0,2.55,0,18.92,0,1.36,0.87,13.25,0,0,0,0,0,1.06,0,0,1.73,12.1,0,1.18,2.86,69.5,0,0.88,1.79,0,4.49,1.35,0,0.85,0,0,0.58,0.52,0,1.99,0,0
120,0,0,0,5.41,0,30.53,0,0,0,0,5.4,0,0,0,0,0,0,0,0,25.13,0,0,9.09,57.34,0,0,0,0,0,9.06,0,0,0,0,0,0,0,1.14,1.8,0
