stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,1142.52,19286.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755.13,0,0,0,0,0,0,0
  5-6,516.35,6301.9,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.15,11.17,0,0,39.86,79,0,0,0,0,0,0,0
  7-9,11.04,25.44,25.06,0,0,25.35,0,0,0,33.73,0,0,0,0,0,0,0,480.99,40.52,0,0,184.42,3.31,38.7,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.05,0,0,0,4.26,0,0,0,0,0,0,0,106.93,0,0,0,9.91,4.33,0,0,25.33,0,0,0,0
 14-21,0,0,1.08,3.4,0.82,0,0,0,1.11,0,0,0,0,0,0,0,6.26,8.39,0,0,0,0,7.1,0.91,1.11,0,4.05,5.7,0,0
 24-34,0,0,0,2.37,0,1.36,0,0,1.73,0,0,0.93,0,3.47,0,0,0,24.54,0,0,0,0,4.5,0,0,0,0,4.61,0,1.15
 36-46,0,0,0,0,0,6.49,0,0,0,0,0,0,0.81,0.81,0,0,0,36.95,0,0.75,0,0,7.63,0,0,0,0,5.61,0,1.09
 48-58,0,0,0,0.38,0,19.4,0,0.47,0,4.51,0,0,0,1.66,0.46,0,0,38.26,0,0.73,0.38,0,7.96,0,0,0,0,2.39,0,0.62
 60-70,0,0,0,0,0,20.64,0,0,0,0,0,0.9,0,1.43,0,0.89,1.74,23.3,0,0,1.82,0,3.99,0,0,0,0,3.89,0,0.65
 72-82,0,0,0,0,0,4.58,0,0,0,0,4.06,0,0,5.81,0.93,0,1.22,30.13,0,0,0,0,0.55,0,0,0,0,0,0,6.09
 84-94,0,0,0,0,0,3.03,0.79,0,0,1.22,0,1.25,0,6.58,0,0,0,14.05,0,0,0,0,0.67,0,0,0,0,2.86,0,1.76
 96-106,0,0,0,1.3,0,10.61,0,0,0,0,0,0,0,8.4,0,0,0,4.26,0,0,1.96,0,0.69,0,0,0,0,0,0,4.34
108-118,0,0,0,0.57,0,3.85,0,0,0,0,0.67,0.99,0,0.6,0,0,0,14.5,0,0,0,0,0.44,0,0,0,0,0,4.98,2.3
120,0,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,21.93,0,0,0,0,0,0,0,3.24,0,0,0,0
