stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0.9,0,0,0,0,0,0
 24-34,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,1.29,0.71,0,6.08,0,0,0,0,0,0,1.92,0,0,0,0
 36-46,0,0,0,0,51.92,0,0,4.85,0,0,0,0,0,0,0,2.15,0,0.71,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,160.01,0,0,0.67,0,0,0,0,0,0,0,0.71,0,22.73,0,0,0,0,0,0.4,0,0,0,0,0
 60-70,0,0,0,0,1233.53,0,0,1.77,3.15,1.43,0,0,0,0,0,1.94,0.71,8.32,0,0,0,2.51,0,0,2.67,0,0,0,0
 72-82,0,4.38,0,0,2100.29,1.66,0,1.06,5.18,0,1.56,5.65,0,0,0,15.98,1.22,33.72,0.52,0,0,2.23,0,0,5.78,0.87,0,0,0
 84-94,0,5.17,3.95,0,2559.68,0.56,0.62,0,2.63,0,0,0,0,0,0,9.89,3.26,35.97,0,0,0,0,0,0,2.05,0,0.7,0,0
 96-106,0,11.99,0,0,2058.3,1.88,0,0,5.49,0,0,1.01,0.66,12.05,0,15.61,1.81,42.81,0,0.84,2.27,9.24,0,1.28,0,0,0,5.24,0
108-118,0,0.59,1.32,0.85,1977.85,0.44,0,0,11.26,0.79,0,0,0,3.04,0,14.15,3.53,51.83,0.48,0,0,10.67,0,0,0,0,0,7.65,8.71
120,0,3.49,1.93,0,2415.09,0,6.38,0,0,0,0,0,0,0,0,8.78,3.33,104.12,0,0,0,0,0,0,0,0,0,0,0
