stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,slow.muscle,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0
 24-34,0,0,3.4,0,5.58,0,0,0,0,0,0,261.62,0,0,0,0,0,27.28,0
 36-46,0,0,125.03,0,148.75,0,0,0,0,1.29,0,1598.14,0.64,0,0,0,0,274.98,0
 48-58,6.78,1.99,376.27,0,394.51,0,6.89,0,0,4.42,0.59,1476.32,0,0,0,6.79,0,370.29,0
 60-70,0,0,228.54,1.61,191.94,0,0,0,0,18.76,0,557.27,0,4.08,0,0,0,199.93,0
 72-82,0,0.83,68.25,0,85.89,0,0,0,0,0,0,167.53,0,0,1.77,0,0,18.19,0
 84-94,3.77,0,51.26,0,45.23,1.94,0,0,0,0,0,68.41,0,0,0,0,0,14.16,0
 96-106,0,0,32.56,0,21.54,0,0,0,0,0,0,74.91,0,0,2.4,0,0,0,0.64
108-118,0,0,39.6,0,41.19,0,0,0.65,0.86,3.34,0,105.07,1.51,0,0,0,0.66,0.47,0
120,0,0,53.98,0,49.35,0,0,0,0,0,0,333.04,0,0,0,0,0,0,0
