stage,blastomeres,epidermis,eye,fin.mesenchyme,immune,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,29.61,4.32,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 24-34,0,0,0,0.74,0,0,4.5,0,0,0.84,0,0,0.6,0,0
 36-46,0,0,0,0,0,0,2.78,0,0,0,0,0,0,2.52,0
 48-58,0,0,0,0,0,0,0,0,1.48,0,0,0,0,4.24,0
 60-70,0,0,0,2.66,0,0,0.61,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,1.08,0,3.16,0
 84-94,0,0,0.69,0,0,0,0,0,0,0,0,0,0,1.96,1.13
 96-106,0,0,0,0,0.66,7.43,0,1.72,2.78,0,0,1.96,0,5.93,0
108-118,0,0,0,0,0,0,0.6,0.46,0,0,0,3.49,0,2.28,0
120,0,0,0,0,0,0,0,0,0,8.35,0,0,0,24.18,0
