stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.19,108.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,108.07,6.61,0,32.85,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.78,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,91.14,0,0,3.22,0,0,19.05,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,0,2.19,0,0,0,0,3.18,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0.89,1.16,3.57,0,0,0,0
 24-34,0,0,0,1.13,0,2.11,0,0,0,0,9.54,0,0,0.77,0.86,30.9,0,0,0.64,19.42,0,0,0,0,0,0,1.04,0,4.25,0,0,3.86,4.48
 36-46,0,0,0,0,0,1.57,0,0,0,0,6.67,0,0,0,0,48.13,0,0,0,2.19,0,0,0,0,0,0,4.11,0,0,0,0,0,1.11
 48-58,0,0,0,0.39,0,15.93,0,0,3.58,0,4.81,0,0,0,2.86,0,3.29,0.63,0.63,35.58,0,0,0,0,0,0,7.41,0,11.57,0,0,0.45,6.3
 60-70,0,0,0,0,0,12.08,6.01,0,0,0,0.78,0,0,0,0,0,0,0,0.57,13.28,0,0,0,0,0,0,5.94,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.25,3.66,0,5.23,0,0.75,1.64,0,0,0,0,6.58,0,5.52,19.38,0,0,0,0,1.31,0,6.26,0,0,0,0,0,0
 84-94,5.55,0,0,0,4.05,13.67,12.73,0,1.48,1.72,1.25,0,0,0,0,0,1.1,0,8.51,15.95,0,0,0,0,0,0,24.53,0,4.16,0.83,0,0,0
 96-106,0,0,0,1.74,6.89,33.44,21.81,0,6.85,0.75,0,0,0,0,3.28,0,7.55,0,2.26,24.27,0.62,0,0,0,3.03,0,17,0,7.72,0,0,0,0
108-118,0,0,0,3.3,2.22,18.49,39.8,0,12.59,0,3.91,1.09,0,0,0.7,0,7.08,0,10.09,21.93,0,0.82,0,1.32,1.04,0,24.56,0,3.06,0,4.91,1.57,0
120,0,0,0,0,1.48,5.46,45.08,2.25,18.47,0,1.85,0,11.74,0,0,0,4.3,0,0,90.98,0,0,0,0,2.68,0,21.04,0,10.36,0,2.2,1.7,0
