stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,279.59,6463.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.03,0,0,0,0,0,0,0,0,0
  5-6,537.26,8315.53,0,22.82,0,0,0,0,0,0,0,0,0,46.28,0,0,0,0,0,0,0,0,0,0,0,239.94,41,0,0,98.46,0,94.4,0,0,0,0,0,0,0,0,0
  7-9,86.25,168.66,0,159.85,0,0,0,374.57,0,0,0,0,0,72.69,0,0,0,0,0,0,0,0,0,0,0,3951.22,139.95,0,0,1278.29,0,15.48,12.82,0,0,0,0,0,0,0,0
 10-12,0,76.56,0,61.07,0,0,0,207.64,0,0,0,0,0,10.89,0,0,0,0,0,0,0,0,0,0,0,1827.3,43.09,0,0,617.41,0,0,0,0,132.05,0,0,0,0,0,0
 14-21,0.89,0,0,5.64,28.44,9.47,0,19.38,0,0,0,4.86,0,4.05,0,0,0,0,0,0,0,27.58,0,0,15.82,350.8,3.61,2.91,0.8,8.71,0,1.39,0,35.75,1.37,21.5,64.84,0,2.58,0,0
 24-34,0,0,0,0,5.53,0,0,37.65,0,0.85,0,3.3,0,0,0.68,0,0.61,0,0,5.73,0,18.86,0,0,12.25,390.38,0,1.46,2.96,0,0,12.14,0,0,0,2.12,68.88,0,0.62,0,0.81
 36-46,0,0,0,0,8.56,18.5,0,49.72,0,0,0,18.5,0,0,0,0,0,0,0,1.17,0,28.53,0,1.94,2.38,194.56,0.74,1.7,14.77,0,0,1.6,0,0,0,0,43.06,0,1.07,0,0
 48-58,0,0,0.54,1.75,2.06,3.17,0,64.53,0.37,0,0,17.44,1.07,0,0.78,0,0,0,2.43,0,2.19,23.34,1.46,0,3.13,129.41,4.41,1.25,0,0,0,0,0,0,4,0,32.2,0,2.79,0,1.29
 60-70,0,0,0,0,0.83,0,0,53.91,0,0,0.89,7.73,0,0,0,0.58,0,0,0.67,3.22,1.24,13.63,0,0,1.76,132.45,0,0,2.12,0,0,11.22,0,0,6.36,0,11.77,1.22,12.22,0,0
 72-82,0,0,0.68,0,3.22,1.1,0,33.52,0,0,0,24.39,0,0,0.87,0,1.16,0,0,4.65,0,23.43,0,0,4.42,59.01,0,0,0.89,0,0,0,0,0,0,0,8.55,0,3.01,1.81,1.71
 84-94,0,0,0,0,0.67,0,0,29.05,0,0,0,2.67,0.66,0,0,2.18,0,0,1.11,0,0,27.08,0,0,2.07,46.25,0,2.34,0,0,5.27,1.56,0,0,1.13,0,3.95,0,0,0,0
 96-106,0,0,0,0,3.83,2.94,0,20.97,0,0,1.72,3.93,0,0,0,0.65,0,0.92,0,0,0,3.49,0,0,1.42,45.3,1.18,3.37,0,0,0,6.46,0,0,0.7,0,5.25,0.61,0.67,0,0
108-118,0,0,0,0,6.58,0,0.52,15.79,0,0,0,6.09,0.8,0,0,1.97,0,0,0,4.66,0,13.83,0,0,4.43,51.78,0,0,0,0,0,4.5,0,0,0,0,0,0,7.64,0,0
120,0,0,0,0,0,0,0,14.63,0,0,0,5.78,0,0,0,1.26,0,0,0,0,0,18.97,0,0,7.07,48.39,2.45,0,0,0,0,6.78,0,0,0,0,0,0,0,0,0
