stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,23.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.74,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,79.51,0,0,0,0,0.98,22.61,0,0,0,0,0
 24-34,0,0,0.86,0,0,6.79,0,0,0,26.32,0,0,0,0,0,0,0,0,1.11,0,0,0,584.31,0,0,6.25,0,0,85.62,0,0,0,0,0
 36-46,0,0,2.66,0,0,15.16,0,1.05,0,190.81,0,0,0,0,0,0,0,0,1.57,0,0,0.78,1443.88,0,1.87,7.21,0,0,212.74,0,0,0,0,0
 48-58,0,0.42,6.97,0,0,125.79,0.42,0.78,0,492.57,0,0,0,0.46,0,0.45,0,5.23,10.57,0,0,1.13,2027.63,0,1.07,12.95,2.11,0,337.96,0,0,1.38,0,8.23
 60-70,0,0,1.79,0,0,136.67,6.9,0,0,673.36,0,0,0,0,2.8,1.55,0,0,16.45,0,0,2.63,1941.49,0,0,17.38,8.37,0,229.42,0,0,1.89,0,3.24
 72-82,0,0,12.43,0.96,0,156.04,4.98,0,1.36,736.34,0,1.5,0,0,0,3.89,0,0,15.47,8.82,0,1.15,1777.86,4.45,0,55.78,0,0,114.99,0,0,4.06,0.96,6.52
 84-94,0,2.29,13.76,1.08,0,171.38,0.67,0,0,573.51,0,0,0,0.56,0.67,0.69,0,0,38.58,1.53,1.06,6.93,1168.66,0,1.46,37.42,2.36,0,99.66,0,0.84,0,0,0
 96-106,0,0,13.63,0,1.76,124.47,0,0.68,0.81,606.22,0,0.97,0,0,0,0.71,0,0,13.51,0,1.67,3.09,1005.51,0,2.07,38.32,16.04,0,62.64,0.99,0,2.76,0,6.38
108-118,0,2.21,2.88,6.02,0,78.72,0,0,1.44,592.19,0.5,0,3.27,0,0,4.46,0.7,0,18.57,0,0,1.84,1245.89,0,2.41,43.51,0,0,38.06,0,0.82,0.56,0.57,0
120,0,0,16.61,7.51,0,108.65,0,0,0,966.48,1.12,6.5,0,0,0,0,0,0,63.8,0,8.85,1.42,1805.88,0,0,19.57,0,0,40.4,5.48,0,0,0,0
