stage,blastomeres,endoderm,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros
  5-6,15,0,0,0,0,0,12.76,0
  7-9,0,5.11,0,16.55,0,19.31,0,0
 10-12,11.47,0,0,34.27,0,3.49,0,5.88
 14-21,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,1.56,0,0,0,0
 48-58,0,0,0.57,0.89,1.09,0,0,0
 72-82,0,0,0,0,1.12,0,0,0
108-118,0,0,0,3.22,0,0,0,0
120,0,0,0,14.13,0,0,0,0
