stage,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,spinal.cord,vasculature
  7-9,0,0,6.73,0,0,0,0,0,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,17.2,0,0
 14-21,0,0,0,0,0,0,0,0,1.8,0,0
 24-34,0,0,0,0,0,0,0,0,7.53,1.18,0
 36-46,0,0,7.2,0,0,0,0,0,19.61,5.06,0.56
 48-58,0,0,3.17,0,0,0,0,0.46,22.7,3.49,0
 60-70,0,0,7.59,0.64,0,0,0,0,19.7,0.92,1.75
 72-82,0,0,1.51,0,0,6.8,0,0,2.97,0,2.45
 84-94,0,0.81,2.83,0,0,0.83,1.47,0,9.98,4.16,3.22
 96-106,0,0,0,0.94,0,5.89,0.79,0,0,0,2.23
108-118,0,0,0,0,0.45,6.54,0.61,0,13.73,0,2.5
120,1.58,0,0,0,0,0,0,0,29.39,0,4.62
