stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0,0,14.29,0.99,0,0,0,0,1.03,1.89,0.85,0.87,14.63,0,0,0,0,0
 24-34,0,0,2.83,3.99,0,0,0.6,0.68,0.7,0,0,0,0,0,3.65,0,0,0,0.92,0,0,0.96,120.46,0,2.2,0,0,16.85,0,0,5,0.67,42.51,0,0,0,0,2.6
 36-46,0,0,0,1.08,0,0,1.77,0,0,0,2.38,0,0,0,15.88,0.86,0,0,7.44,0,0,2.92,296.62,1.62,0.76,0,0,9.45,0,0,0,0,68.97,0,0,0,0,0
 48-58,0,0,0,0,0,0,20.86,0,0,0,3.59,0,0,0,0.43,12.71,0,0,25.61,7.06,0,0.51,522.38,0,0.98,0.43,1.12,0.38,0,0,0.46,0,99.54,0,0,0,0,3.52
 60-70,0,0,0,0.6,0,0,54.14,0,0,0,10.18,0,0,0,0,9.09,0,0,93.6,3.03,0,3.5,1077.71,0,1.12,9.91,0,4.36,0,0,0,0,107.72,0,1.31,1.24,0,3
 72-82,0,0,0,2.11,0,0,98.06,0,0,0,26.33,0,0,0.52,0.55,4.35,0.95,0,217.35,3.56,1.09,1.78,1220.57,0,2.14,0.71,0,0,0,0,0,0,140.97,0.91,0.52,1.02,0.53,4
 84-94,0,0,0,1.93,0,0,60.45,0,0,0,13.33,0.84,0,0,1.77,7.21,1.7,10.9,235.77,0,5.35,2.42,772.5,3.22,1.04,2.3,9.35,0,0,0.93,0,0,81.11,0,0,0,2.24,0
 96-106,0,0.99,0,11.31,8.16,0,51.01,0,1.16,5.3,34.91,2.21,0,0,1.14,3.7,0,0,204.72,7.58,1.02,1.23,708.1,0,0,6.19,0,6.37,0,0,0,0,52.44,0,0,2.29,0,0
108-118,0,0.84,0,5.82,2.26,3.05,63.68,0,0,3.58,58.12,2.45,0,3.24,1.94,19.66,0,0,242.53,4.63,4.24,2.44,609.29,0,0,2.99,3.15,0.44,0,0,0,0,39.8,0.43,2.33,4.25,0,3.7
120,0,0,0,5.77,0,0,113.94,0,1.5,0,52.68,0,0,0,3.78,3.66,0,0,310.47,0,5.31,7.51,1177.51,0,0,5.96,0,0,0,0,0,0,66.2,0,0,5.76,0,0
