stage,blastomeres,endoderm,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,spinal.cord,vascular.smooth.muscle
  3-4,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0
 10-12,6.14,9.05,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0
 24-34,0,0,0,0,0,0,0,1.36,1.94,0,0,0.71,0,0,0,1.26,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,12.06,0,0,2.13,0,0,1.45,0.88,2.71,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,8.4,0,0,0.44,0,2.35,0,0,0,0,0.81,0,0
 60-70,0,0,6.34,0,0,0,0,0,5.64,0.71,1.7,7.4,0,0.6,1,2.09,1.1,7.21,0,0,0
 72-82,0,0,2.04,0,3.65,1.41,0,0,5.16,0,0,7.98,0,0,0,0,0,0,0,0,1.42
 84-94,0,0,0,0,0,0,0,0,5.55,0,0,0.81,0,0,4.62,0,0,0,0,0,0
 96-106,0,0,2.68,0,0,0,0,0,2.24,0,9.08,21.36,0,0,0,0,0.74,1.58,0,0,0
108-118,0,0,0.79,4.53,5.52,0,0,0,6.21,0,1.94,10.91,0,0,3.16,0.85,0,0,0,0,0
120,0,0,1.38,0,0,0,0,0,39.41,0,3.84,0,19.27,0,9.81,0,0,19.53,0,0,0
