stage,endoderm,eye,glial,neural,otic,paraxial_mesoderm,pericytes,spinal_cord
 10-12,13.53,0,0,0,0,3.27,0,0
 24-34,0,0,0,4.93,0,0,0,1.2
 36-46,0,0,0,3.83,0,0,0,0
 48-58,0,0,0.51,5.56,0,0,0,0.78
 60-70,0,4.26,0,5.99,0,0,0,0
 72-82,0,2.24,0,11.87,0,0,1.2,0
 84-94,0,0.76,0.88,0,0.92,0,0,0
 96-106,0,1.37,0,0,0,0,0,0
108-118,0,0,0.48,0,0,0,0,0
120,0,17.7,0,20.59,0,0,0,0
