stage,blastomeres,epidermis,fin_epithelia,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,somites,vasculature
  3-4,9.63,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,11,0,0
 10-12,0,0,0,0,0,0,0,0,15.59,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.82,0
 24-34,0,0,0,0,0,1.23,1.26,0,0,0,0
 36-46,0,0,5.35,0,0,1.11,0.83,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.58
 60-70,0,0,0,0,0,0,0,0,0.93,0,0
 72-82,0,1.38,0,0,0,0,0.59,0.53,0.59,0,0
 84-94,0,0,0,0,0,0,0,0,3.64,0,0
 96-106,0,0,0,1.02,0,0,0,0,0,0,0
120,0,0,0,0,2.83,0,0,0,0,0,0
