stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,38.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,50.9,4.5,0,0,3.9,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,13.64,1.82,0,0,0,0,0,0,0,0,0,2.29,1.09,0,0,13.64,5.47,0,0,0,0,150.89,0,3.57,16.43,0,0,0
 24-34,0,10.43,0,2.85,0,0,0,0,0,1.24,0,0,3.75,3.36,0,3.15,35.91,1.16,0,0,0,0,319.08,0.64,0,34.16,0,0,0
 36-46,0,17.28,0,2.1,0,0,5.77,2.36,0.82,0,0,0,14.09,10.2,0.98,3.62,47.51,0,0.99,0,0,0,596.64,0,0,29.43,0,0.56,0
 48-58,0,11.13,0,14.78,3.03,16.28,1.02,0,0,0,0,0.4,12.19,5.16,0.37,0.88,26.14,0.52,0.41,0,0,0.92,445.18,13.57,0,4.48,0,0.65,0
 60-70,0,0,0,7.5,0,4.06,1.7,0,0,0,0,0,10.22,0,0,2.99,18.87,0,0,0,0,2.16,297.48,0,0,0,0,0,0
 72-82,0,7.04,3.82,2.16,0,4.77,21.23,0,0,0,0,0,11.66,0,1.7,0,16.45,0.51,0,0.56,1.13,0,167.81,0,0,1.47,0,0,0
 84-94,0,13.96,0,10.61,7.09,6.38,0,0,0,1.4,0,0,2.95,0,0.72,0.63,10.81,0,0,0,0,0,391.57,1.32,0,0,0,6.75,0
 96-106,0,3.69,0,9.99,16.54,9.11,0.57,0,0,1.14,0,0,3.8,0,0,0,1.69,0,0,0,0,0,108.68,1.17,0,3.43,0,0,1.71
108-118,0,23.86,0,0,3.44,16.43,0,0,0,1.87,1.15,0,14.47,1.75,1.21,1.13,6.87,0,0,0,0,0,80.67,1.16,0,0,0,0.62,0
120,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,6.84,0,2.19,0,0,0,0,0,14.79,1.03,0,0,5.09,0,0
