stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,5.16,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,4.58,0,0,0,9.54,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,5.69,2.74,28.04,0,0,0,41.99,0,0
 36-46,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,9.38,0,25.09,0,5.76,29.9,54.03,0,0
 48-58,0,0,0,0,4.97,0,0.54,0,0,0,0,0,0,0,13.99,3.13,17.94,0,0,0,34.14,0,0
 60-70,0,0,0,0,146.15,1.14,6.21,0,0,0,0,0,0,0,31.5,0.77,32.64,0,0,0,102.52,0,0
 72-82,1.08,2.13,0,0,477.98,0,16.44,0,0,0,0,0,0,0,33.48,5.37,35.13,0,0,0,97.33,0,0
 84-94,0,0.86,0,0,273.62,0,8.24,0,0,0,1.07,0.78,0,0,23.06,0.98,31.57,0,1.45,0,52.73,0.78,0
 96-106,0,0.57,0,0,485.04,0,12.29,47.5,0.58,0,0,0,1.44,0,32.94,2.02,56.27,0,1.1,0,32.39,0,0
108-118,0,0,0.71,1.13,371.4,0,21.79,43.47,0,0.57,0,0,0.9,0,35.26,2.86,82.04,0,3.14,0,38.29,1.49,1.17
120,0,0,0,0,175.72,0,0,71.1,0,0,0,0,9.99,0,10.97,4.89,82.99,0,0,0,65.01,0,0
