stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,195.79,4987.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.47,0,0,0,0,0,0,0,0
  5-6,192.16,2583.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.43,16.8,0,0,27.39,8.81,0,0,0,0,0,0,0,0
  7-9,3.57,0,9.24,0,27.13,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,204.71,7.6,0,0,69.98,0,6.2,0,0,0,0,0,0,0
 10-12,0,0,14.61,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.43,31.79,0,0,17.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,8.42,1.83,0,0,0,43.3,182.8,0,0,0,0,0,1.94,0,0,1.3,34.07,0,0
 24-34,0,0,0,0,30.57,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,1.33,398.84,26.13,4.62,0.62,0,0,0,0,0,0,1.26,169.14,2.15,0
 36-46,0,0,0,0.62,74.35,0,0,0.81,1.5,0,0,1.15,0,0,0,0,2.15,0,0,2.01,377.39,16.29,1.02,0,0,0.81,0,0,0,0,0,170.45,0,0
 48-58,0,0,0,0.38,127.69,0,0,0.37,3.59,0,0,0,0,0,0.66,0,4.81,0,0,0.39,150.69,8.22,1.32,0,0,0,0,0,0,0,0,95.92,0,0
 60-70,0,0,0,0,229.34,0,0,0,7.66,0,0,0,0,0,0,0,6.77,0,0,0,96.77,2.09,0,0,0,0.8,0,0,4.44,0,0,24.64,0,0
 72-82,0,0,0,3.62,78.96,0,0,0,1.99,0,0,0,0,0,0,0,3.87,0,0,0,40.82,3.83,0.95,0.69,0,0,0,0,0,0,0,4.06,3.95,1.16
 84-94,0,0,0,1.4,55.75,0,0.66,0,7.55,3.07,0,0,0,1.03,0,0,2.88,0,0,1.62,21.02,5.05,0.7,0,0,0,0,0,0,0,0,1.83,0,0
 96-106,0,0,0,0,43.73,1.42,0,0,3.45,1.49,0,0,6.88,0,2.91,0,0,3.47,0,0,25.06,3.13,1.6,0,0,0,0.7,0,0,0,0,0,5.77,0
108-118,0,0,0,0.71,26.83,0,0,0,3.41,0.85,0,0,0.45,0,0,4.66,9.53,0,0.97,0,24.26,3.07,0,1.46,0,0,0,0,0,0.48,0,0.44,0,0
120,0,0,0,0,56.87,0,0,0,3.15,1.74,0,0,0,0,0,0,2.86,0,0,0,8.39,4,0,0,0,0,0,0,0,0,0,0,0,0
