stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.18,373.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0
  5-6,29.36,318.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.49,0,0,0,0,0,39.91,0,0,0,0,20.89,0,0,0,0,0,0,0,0,0,0,191.56,17.15,0,0,46.49,3.78,0,0,0,0,0,0,0,0
 10-12,0,8.11,0,17.25,0,6.65,0,61.58,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,0,313.61,4.1,0,0,45.74,0,0,15.63,0,4.33,0,0,0,0
 14-21,0,0,1.13,0,5.96,6.8,0,11.75,0,0,0,0,0,0,0,0,0,1.16,0,5,0,0,1.88,204.43,2.24,0,0,2.24,0,2.64,0,1.66,50.75,0,0,0,0.95
 24-34,0,0,0,0.59,2.27,1.11,0,33.86,0.61,0,3.19,0,1.08,3.07,0,0,0,0.67,2.42,13.56,0,0,1.4,325.99,0,0,0.68,0,0,0,0,1.3,66.56,0,10.24,0,0
 36-46,0,0,0,0,0.66,0,0,18.02,0,0.67,11.73,0,0,1.63,1.3,0,0,1.62,0,19.46,0,0,1.81,267.94,2.16,0,4.34,0,0,0,0,0,36.46,0,3.29,0,0
 48-58,0,0,0,0,1.54,0,0,30.64,1.66,0.89,14.39,0,0,0,1.26,0,1.35,0.63,0,26.27,0,0.42,1.04,162.78,0,0,0.83,0,0,0,0,0,28.86,0.74,1.85,0,6.96
 60-70,0,0,0,0,0,5.79,0,42.85,2.19,0.7,9.95,0.63,0,0,0,0,0,0,0,15.48,0,0,0,125.66,0.76,0.62,0,0,0,0,0,0,17.41,1.98,2.57,0,0
 72-82,0,0,0,0,0.49,3.38,0,44.16,11.54,1.81,18.33,0.53,0,1.22,0.66,0,0,0,0,19.67,0,0,1.21,183.29,0,1.11,0,0,1.64,0,0,0,3.25,0,9.56,1.7,2.33
 84-94,0,0,0,0,2.97,0,0.71,17.65,15.72,0,14.37,10.44,0,0,1.53,1.44,0.76,1.74,0,17.29,0,3.03,1.74,111.24,0.67,0.6,9.97,0,0,0,0,0,6.68,2.51,6.25,0,0
 96-106,0,0,0,0,1.69,3.36,0.8,35.65,9.28,0,20.85,21.2,0,2.94,3.69,0,0,1.08,0,15.03,0,0.76,0.79,121.46,0,0,0,0,0,0,0,0,6.9,0,10.72,0,9.61
108-118,0,0,0,0,1.53,0.42,0.55,31.25,17.13,3.47,18.04,13.28,0,0,2.36,0.55,0,7.85,0,20.09,0,1.29,2.22,124.06,0,0,0.5,0,0,0,0,0,5.59,0.85,4.37,0.72,0
120,0,0,0,0,1.4,0,0,23.93,7.11,1.82,25.3,9.85,0,7.69,0,0,0,0,0,31.65,1.63,0,7.34,293.61,0,0,0,0,0,0,0,0,25.51,0,8.38,0,0
