stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,230.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,523.57,0,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,34.06,8.9,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0
  7-9,75.37,8.46,0,10.93,0,0,0,6.22,0,0,0,0,0,43.7,0,0,0,0,0,0,0,0,0,0,211.72,13.16,0,0,95.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.98,0,0,0,0,0,7.7,0,0,0,0,0,23.03,0,0,0,0,0,0,0,0,0,0,119.55,5.97,0,0,57.34,0,0,5.33,0,15.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.03,2.28,0,9.59,0,0,0,0.87,0,0,0,0,0.82,0,0,9.54,0,1.89,0,12.76,74.08,0.82,0,0.88,0.86,0,0,0,11.83,0,7.3,14.56,13.94,0,0,0,0,0
 24-34,0,0,1.81,0.67,3.3,0,0,86.53,0,2.1,0,1.03,0,0,0,0.65,0.79,0,0.65,0,0,3.65,0,2.44,184.85,0,4.11,3.37,0,0,3.15,0,0,0.63,2.8,5.78,28.85,0,0,1.99,0,6.44
 36-46,0,0,0,0,0,4.5,0,74.14,2.33,0,0,9.68,0,0,2.83,0,0,1.36,0.56,0,0,18.58,0,5.42,171.86,0,1.27,0,0,0,0.83,0,0,0,0.74,1.09,41.74,0,0,0.9,0,5.46
 48-58,0,0,0,0,7.94,0.69,0,93.42,1.31,0,0,7.75,0,0,0.82,0,0,7.73,0,0,0,17.77,4.45,4.83,250.83,0,2.5,0,0,0,3.43,0,0,0,1.65,0,34.42,0,0,2.33,0,6.09
 60-70,0,0,0,0,0,0,0,147.26,1.7,1.75,1.57,17.46,2.22,0,0,0.6,0,0,0,0,5.63,24.09,0,1.34,247.45,0,1.31,0,0,0,0.67,0,0,0,0,0,25.06,0,0,1.09,0,0
 72-82,0,0,0.93,0,5.53,7.29,0,134.32,0,0,0,17.64,0,0,0,1.02,0,7.46,0.68,0,0,24.57,0,10.84,236.35,2.7,0,2.52,0,0,6.32,0,0,0,0,0,13.63,0.82,0.61,0,0,7.7
 84-94,0,0,0,0,0.59,2.31,0,91.65,0,0,0.81,9.99,0.73,0,1,6.09,0.56,3.97,0,0,0,23.91,0,3.55,149.07,0,0,0,0,0,9.55,0,0,0,0,0,13.08,0,4.35,1.04,0,0
 96-106,0,0,3.56,0,2.24,6.2,0,77.56,0,2.75,1.73,14.57,2.96,0,1.61,3.04,0,0,0,0,0,19.93,0,2.62,140.82,0,13.36,1.85,0,2.93,7.08,0,0,0,0,0,10.74,0,0,0.59,3.05,8.81
108-118,0,0,0.85,0,3.59,21.11,1.09,83.85,0,1.7,1.76,18.93,0.42,0,0.56,0.64,2.36,2.09,0,0,0,28.63,0,3.19,166.39,0,0.57,0,0,0,5.36,0,0,0,0,0,7.95,0.52,0.66,0.9,0.62,1.45
120,0,0,0,0,7.2,9.66,0,72.07,2.29,1.42,0,10.59,1.31,0,0,5.92,0,0,0,0,0,40.35,0,5.51,178.73,0,0,0,0,0,4.03,0,0,1.21,1.21,0,7.32,0,0,7.57,19.22,7.33
