stage,epidermis,erythrocytes,eye,glial,gut,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,taste
 24-34,0,0,0,0,0,0,3.1,0,0,0,0,0
 36-46,0,0,1.16,0,0,0,2.8,18.6,0,0.83,0,0
 48-58,0,0,0,0,0,0.44,0,5.36,0,4.55,2.83,0
 60-70,0,0,0.77,0,0,0,6.26,12.35,0,0,0,0
 72-82,0.69,0,5.94,0,0,0.96,6.36,119.22,0,0,0,0
 84-94,0,0,0,0,0,0,0,185.58,0.79,0,0,0
 96-106,0,0,3.36,0,0,0,2.05,490.78,0,0,0,0
108-118,0,1.42,0,1.89,0.73,0,2.28,217.84,0,0,0,11.33
120,0,0,1.75,0,0,0,0,134.23,0,0,0,0
