stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,81.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,0,0,0,0,0,0,0,0,0,0,0,0,41.9,0,0,0,6.96,0,0,0,0,0,0,0
 10-12,0,0,0,12.18,0,0,14.9,0,0,0,0,0,0,111.2,32.82,0,0,27.65,0,0,6.57,0,0,0,0
 14-21,0,0,0,0,0,0,1.34,24.67,0,0,0,2.94,0.91,23.5,0,0,5.11,4.48,21.1,0.81,77.43,0,0,0,0
 24-34,0,0,0,0,0.72,0,0,56.29,0,0,0,2.37,0.61,41.48,0,10.62,3.73,0,18.41,0,74.25,0,0,0,0
 36-46,0,0,0,0,0.63,0,5.2,28.3,0,0,0,0.56,0,39.37,1.29,12.76,1.9,0,9.12,0,43.08,0,0,0,1.04
 48-58,0,0,0.42,0,0,0.43,7.86,52.99,0,0,1.66,3.84,0,29.61,0,38.02,2.8,0,4.82,0,51.34,0,0,0,0
 60-70,0,0,0,0,0.76,0,10.58,53.89,0,2.41,2.77,1.61,0,25.94,0,23.45,5.93,0,6.25,0,43.27,0,0,0,0
 72-82,0,0,0,0,2.11,0,12.07,32.48,0,0,3.37,4.25,0,4.21,0,25.73,13.05,0,1.72,0,11.79,0,0,1.35,0
 84-94,0,0,0,0,0,0.57,5.2,30.82,1.68,0,2.85,3.14,0,16.03,0,23.49,13.22,0,4.4,0,23.2,0,0,0.81,0
 96-106,0,0,4.65,0,2.27,0,6.09,24.95,0.89,1.42,8.9,10.4,0,0.6,0,33.96,21.46,0,3.87,0,18.64,0,0,0,0
108-118,0,0,0,0,2.61,0,16.09,56.1,0.54,0,4.85,3.54,0,14.35,0,24.11,16.64,0,5.37,0,7.44,0,1.55,0,0
120,0,0,0,1.28,5.16,0,1.56,10.54,0,1.63,18.05,5.28,0,21.33,0,55.72,30.06,0,15.95,0,16.76,1.52,3.34,0,0
