stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,80.62,1026.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.19,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.79,378.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,0,0,0,0,14.1,0,0,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0,36.37,0,0,0,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4,19.03,0,0,19.88,0,0,0,0,4.64,0,0,0,0,0,0,0,0
 14-21,0,0,1.98,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,8.02,0,0,4.99,47.99,0,0,0,0,0,1.89,0,1.31,1.01,16.97,23.31,25.94,0,0,0,0,0
 24-34,0,0,1.31,0,0,6.7,2.38,0,0,2.54,0.67,0,0,0,0,0,0,0,5.99,0,0,25.57,417.17,0.61,4.85,0.77,0,0,3.7,0,0,0,26.63,28.93,161.93,0,0,0,0,0
 36-46,0,0,7.04,0,0,23.94,7.27,0,0,9.94,1.12,0,0,0,0,0,0,0,26.4,0,1.66,4.52,693.57,0,1.22,0,0,0,5.88,0.81,0,0,35.12,3.42,249.86,0,0,0.66,0,0
 48-58,0,0,4.14,0,0,74.13,2.94,0,0.76,10.85,0,0,0,0.68,0,0,0,1.32,33.92,0,0.4,17.68,1354.07,1.66,0,0.69,0,0,3.03,0,0,0,12.68,0,284.08,0,0,0.51,0,2.09
 60-70,0,0,5.32,0,0,252.72,2.95,0,4.91,4.6,0,0,0,0,5.42,0,0,0,13.17,0,0,0,2322.98,0,1.23,10.56,0,0,6.74,0,0,0.73,1.21,0,339.08,0,0.59,0.59,0,11.06
 72-82,0,0,13.46,1.11,0,320.81,0,1.57,1.27,17.73,0,0,0,0,0,0,0,0,17.8,0.61,0,3.87,2293.79,0.53,0,0.56,0,0,5.37,0,0,0.68,0,0,353.39,8.52,1.51,0,0,0.62
 84-94,0,0,8.53,6.78,0,196.65,2.24,5.67,0.77,25.32,0.84,0,0,0,0,0,0,3.34,23.54,0.57,0,2.1,1662.96,0,2.7,0,0,0,16.13,0,0,0,0,0,211.08,1.14,9.15,0.74,1.99,0
 96-106,0,0,8.47,4.14,0,151.24,0.95,0.62,0,29.06,0,0,0,2.02,0,2.69,0,1.38,22.47,1.15,0.62,0,1302.8,0.69,2.05,1.57,0,0.99,0,0,0,0,0.64,0,96.92,4.7,1.93,1.38,0,0
108-118,0,0,18.03,0.59,2.73,192.59,0,0,2.59,22.86,1.85,0,0,1.22,0,1.74,0,2.67,15.39,2.3,0,1.51,1417.58,0,1.07,3.1,0,0,0.58,0,0,0,0.53,0,101,2.23,0,0,0,4.47
120,0,0,18.18,2.28,1.6,366.91,0,2.41,0,73.14,1.09,0,3.83,0,0,3.86,1.45,0,18.46,0,0,3.92,3091.68,0,4.59,2.11,0,0,3.74,0,0,7.87,4.15,0,231.25,5.14,4.48,8.27,0,0
