stage,eye,glial,mural.cell,neural,paraxial.mesoderm,spinal.cord
  7-9,0,0,0,23.33,3.69,0
 10-12,0,0,0,9.81,25.61,0
 24-34,0,1.11,0,0,0,0
 48-58,0.6,0,0,0,0,10.63
 84-94,0,0,0.72,0,0,0
 96-106,0,0,0,1.73,0,0
