stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.22,0,2.35,0,0,0,0,0,0,0,0,0.95,0.9,0,0,0,0,0,0
 24-34,0,0,5.73,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,13.21,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,10.97,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,6.78,0,0,0,0,0,18.47,0,0,0,0.84,1.82,0,0,0,0,0,0,3.02,0,0,0,54.07,0,0
 48-58,0,0,0,0,0,0,3.23,0,0,0,1.41,51.58,0,0,0,0,0,21.21,0.64,1.95,0,0,25.94,0,0,0,0,0,0,0.46,4.99,0,0,161.43,0,0
 60-70,0,0.86,0,3.04,0,0,22.77,0.65,0,0,1.12,119.38,0,0.72,0,0,0,52.81,0,4.83,0,0,33.57,0,1.68,0,0,0,0,0,15.35,0,0,155.35,0,0
 72-82,0,3.11,0.75,3.1,0,0,27.12,0.51,0,0,2.16,297.61,0,0,1.68,0,0,284.41,0,6.07,0,0.54,72.54,0,0.55,0,0,6.72,0,0,3.05,0,5.06,369.87,1.42,0
 84-94,0,4.51,0,1.3,8.66,0.57,37.33,0,0.68,1.05,1.48,456.38,1.44,0,0,0,0,856.22,0,10.28,0,2.14,49.25,0.62,0,5.55,0,2.02,0,0,0.8,2.36,4.46,169.05,0,0
 96-106,0,6.15,0,7.29,3.75,1.85,38.69,3.55,1.48,1.54,10.16,399.07,0,0.73,1.6,0.89,0,1290.05,0,18.39,0,2.54,200.4,0,2.74,0.62,5.61,13.74,0,0,4.32,0,3.27,287.02,0.89,0
108-118,0,0,1.5,25.74,0.52,1.6,28.2,0,1.71,1.62,8.15,274.63,0,0.59,1.12,0,1.66,2272.05,6.05,27.3,0,0.62,194.81,0,3.24,0,3.54,5.67,0,0,2.99,0,0,185.66,1.75,7.8
120,0,0,0,7.45,8.02,0,46.84,0,1.49,0,1.87,155.68,4.47,2.73,3.5,0,1.84,1233.56,0,12.48,9.18,1.18,223.34,0,2.2,2.43,0,1.68,0,0,0,0,0,247.56,0,0
