stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,0,124.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0
  5-6,26.75,348.13,0,0,0,0,0,0,0,0,0,35.95,0,0,0,6.69,6.92,0,0,0,0,0
  7-9,11.86,5.33,0,17.08,0,0,50.67,0,0,10.85,0,271.53,7.86,0,0,104.73,0,0,0,0,0,0
 10-12,0,30.25,0,19.47,0,0,25.56,0,0,0,0,312.89,4.28,0,0,124.91,0,5.95,0,0,4.33,0
 14-21,0,0,0,0,1.87,0,0.85,0,0,0,1.2,7.32,1.54,0,0,0,0,0,2.37,1.98,0.85,0
 24-34,0,0,0,0,0,0,0.75,0,0,0,0.86,24.5,0,0,0,0,0.96,0,0,0,4.62,0
 36-46,0,0,0,0,0,0,6.89,0,2.99,0,0.99,28.99,0,0.79,0,0,0,0,0,0,5.07,1.04
 48-58,0,0,0,0,0,0,4.53,0,0.98,0,1.34,17.58,0,0.53,0,0,0,0,0,0,3.77,0
 60-70,0,0,0,0,0,0,5.07,0,6.03,0,1.8,21.75,0,0,0,0,0,0,0,0,6.58,0
 72-82,0,0,0.71,0,0.72,0,2.09,1.48,1.87,0,3.17,8.66,0,0,1.64,0,0,0,0,0,0.85,0
 84-94,0,0,0,0,0,0,2.83,0,1.84,0,0,1.74,0,0.56,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.91,0,1.19,0,1.7,0,2.92,7.34,0,0,0,0,2.28,0,0,0,0,0
108-118,0,0,0,0,0,3.65,3.97,0,5.22,0,1.67,8.84,0,0,0,0,0.49,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,22.91,0,0,2.3,0,10.71,0,0,0,0,0
