stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.07,0,16.98,7.77,0,3.35,0,0,0,1.01,0,1.7,0,0,0,0,0,23.95,0,2.52,0,0,0.82,102.42,2.68,0,0,0,0,0,0.87,0,0,0,38.09,0,0,9.74,0,0
 24-34,3.26,1.42,21.73,0,0,17.54,0,0,0,0.63,0,0,0,0,0,0,0,0,0,10.02,0.95,0,5.31,1404.13,0,0.84,0,0,2.61,0,0,2.45,0,1.27,305.78,0,0,6.16,0,0
 36-46,0,0,3.42,0,0,63.58,0.94,2.79,0.57,21.78,0,0.59,6.49,0,0,0,0,0,6.22,26.99,0,0,2.46,4300.47,3.46,2.57,1.22,0,4.44,0,0,1.02,0,0,532.17,0,0,0,0,6.55
 48-58,0,0,30.69,3.79,0,415.12,0,0,0,88.44,2.4,0,0.88,4.28,0,6.72,0.44,0.91,0,78.05,1.4,0,5.72,8142.46,0.4,2.74,5.07,0.97,4.6,0,0,0,0,0,813.45,0,0,3.68,0,4.74
 60-70,1.77,0,41.45,0,0,1005.24,0.58,4.28,8.4,101.93,1.43,0,0,0.7,0,3.43,1.55,1.41,0,103.97,5.63,19.72,5.96,10779.79,0,4.29,8.27,0,8.4,0,0,3.48,1.33,0,1007.89,5.07,0.9,11.03,0,10.05
 72-82,1.18,0,38,4.97,0,1513.46,0,0,0.78,158.36,4.07,0,2.3,3.17,0,3.46,0.9,3.06,0.85,138.66,0,0,8.18,13014.21,0,6.15,9.81,5.87,7.38,0,0,0,0,0,837.24,24.98,7.51,6.06,0,6.91
 84-94,2.28,1.04,53.85,10.48,0.8,1426.4,4.46,3.36,7.17,143.09,6.7,0,5.26,1.6,3.03,5.42,1.39,2.86,5.31,164.75,2.2,4.93,8.07,8405.31,1.29,4.76,7.82,5.15,10.4,1.4,0,0,0,0,622.56,39.88,3.32,4.36,0,5.35
 96-106,0.9,0,58.36,21.81,0,1019.91,1.41,4.18,0.64,151.89,8.5,0,0,5.46,0.81,0,0,80.38,0,92.48,0,1.37,3.49,6775.82,1.17,9.73,5.09,0.81,21.09,0,0,0,0,0,204.99,68.38,0.72,3.61,0.61,3.35
108-118,1.77,0.49,82.24,2.05,2.61,1155.12,0,6.22,1.84,165.32,3.72,0,0,3.72,2.71,6.26,0,0,0,107.01,0,0,5.74,6280.57,0,10.05,4.4,7.5,12.19,0,0,0,0,0,239.17,80.14,4.84,6.78,0,1.55
120,2.94,0,43.4,0,0,1320.64,11.26,3.41,24.96,328.43,8.32,0,0,13.81,1.76,0,0,1.57,0,125,0,1.26,8.72,10232.01,7.98,6.27,6.89,0,3.12,0,0,3.66,0,0,342.46,41.74,9.46,19.25,0,0
