stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.39,482.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.78,0,0,0,0,0,0,0,0,0,0
  5-6,33.34,303.73,0,0,0,0,0,0,0,0,0,0,0,21.92,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.14,0,0,14.83,0,0,0,24.49,0,0,0,0,0,151.17,0,0,0,0,0,0,0,0,0,0,0,364.67,51.25,0,0,134.3,0,9.93,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,22.95,0,26.91,0,6.14,0,44.36,0,0,0,0,0,97.17,0,0,0,0,0,0,0,0,0,0,0,530.61,62.67,0,0,117.94,0,0,0,0,11.82,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,6.96,2.32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,3.81,53.6,6.35,0,0,1.02,0,3.29,0,4.58,0,1.07,8.4,18.66,0,3.21,0,0
 24-34,0,0,0,0,2.95,0.6,0,5.28,0,1.27,0,6.07,0,0,0,0,0,0,0,0,0,16.13,0.95,0,10.05,175.33,0.73,3.07,1.49,0,0,14.38,0,0,0,0,0.62,40.9,0,7.56,0,0
 36-46,0,0,0,0,3.56,0,0,14.34,0,0,0,6.91,0,0,0.63,0,0,0.86,0,0,0,14.33,0,0,1.3,211.68,2.05,1.51,0,0,0,24.73,0,0,0,0,0,38.15,0,4.36,0,2.11
 48-58,0,0,0,0,4.5,0,0,35.97,0.84,0,0.92,8.39,2.39,0,0,0,0,0,1.03,0,2.69,19.95,0,1.46,6.02,226.83,0.9,0,0.98,0,0,6.98,0,0,0,0,0,35.07,0,1.15,0,3.39
 60-70,0,0,0,0,10.5,0,0,46.24,0,0.65,0.83,11.97,0,0,0,0,0,0,0,0,0,36.29,0,0,4.23,241.98,1.4,1.56,2.44,0,0,5.04,0,0,2.54,0,0,62.39,0,0.72,0,0
 72-82,0,0,0.68,0,3.18,20.05,0,125.9,0,0,0.67,20.03,0.72,0,1.02,3.65,0,0,0.6,0,0,38.67,2.02,2.06,0.85,252.01,0,0,1.51,0,0,5.6,0,0,0,0,0,49.46,0.88,3.01,0,8.97
 84-94,0,0,0,0,4.5,9.51,0,70.95,0,2.3,1.77,19.7,2.26,2.64,0,1.77,0.73,0,0,0.57,0,35.31,0,13.86,1.64,142.14,3.77,2,0.64,0,1.66,29.29,0,0,0,0,0,37.55,0,6.58,0,0
 96-106,0,0,0,0,7.13,8.74,0,84.44,1.15,0,0,19.15,3.47,0,0.76,1.98,0,0,2.4,0.59,0,18.07,0,0,1.92,127.99,1.15,0,0.65,0,2.27,7.9,0,0,0,0,0,3.32,0,3.95,1.72,4.45
108-118,0,0,0,0,6.79,2.31,4.46,83.39,0,4.54,0,17.46,0.94,0,1.77,3.27,1.65,1.6,1.29,0,0.58,27.18,10.03,1.48,3.39,165.26,0,5.9,1.53,0,3.05,18.6,0,0,0,0,0,4.79,0.42,3.12,0,1.22
120,0,0,0,0,20.43,7.1,0,37.84,0,0,0,44.99,6.54,0,0,5.5,0,0,0,0,1.64,31.77,0,0,1.82,258.57,3.87,0,3.89,0,0,12.62,0,0,0,0,0,6.83,4.64,2.37,0,0
