stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1.88,1.67,0,0,0,0,0,0,1.19,0,0,0,0,0,0,5.05,0,6.96,2.53,1.98,0,0,0,0,0.86,2.3,0,2.4,4.65,0,0,0
 24-34,3.53,2.76,0,4.4,0,0,0,3.65,0.92,0,0,0,0,1.1,0,27.49,0,14.55,14.81,2.26,0,0,0,3.47,0,3.12,0,2.44,6.61,0,1.05,0
 36-46,0,4.96,0,2.89,0,0,0,2.74,0,0.6,0,0,0.74,1.55,0,25.11,0,7.22,12.18,2.78,0,0.57,5.7,2.18,0,0,0,0,6.23,0,0.61,0
 48-58,0,1.22,0.57,4.94,1.18,0,0,0.68,0,0,0,0,0,1.04,0,14.76,0.87,2.13,6.02,1.43,0,0.72,0.46,0,0,0,0.4,0,3.02,0,0.73,0
 60-70,0,0,0,4.09,0.61,0,0,2.32,0,0,0,0,0,0,0,22.63,0,0,2.13,2.27,0,0,0,0,0,0,0,0,2.55,0,1.81,0
 72-82,0,0.67,2.98,6.29,0,0,1.29,3.15,0,0,0,0,0,0,0,15.33,3.03,0,4.8,0,0,1.9,0,0,0,0,0,0,0,2.3,4.32,2.05
 84-94,0,0.62,2.06,5.57,0,0.63,0,0,0,1.1,0.55,0,0,0,10.08,9.41,3.21,0.93,9.76,0,0,0,0,0,0,0,0.62,0,2,0.71,5.86,0
 96-106,0,0,17.92,13.7,0,3.15,0,3.33,0,0,0,0,0,0,0,11.32,0.76,1.81,2.3,0,0,0,1.57,0.58,0,0,0,0,0,1.05,0,0
108-118,0,0,1.04,6.62,0,0,0.93,7.8,0,0,0,0.65,1.26,0,0,12.91,0,0,1.09,0,2.92,0.47,0,0,0,0.46,0.56,0,0,0,0,2.1
120,0,3.3,0,0,0,0,0,6.66,0,0,0,0,0,0,0,14.44,0,0,0,3.64,0,1.47,0,0,0,0,0,0,0,0,0,0
