stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,heart,lateral_line,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.45,5.76,0,0,0,0,0,0,0,0,0,15.25,0,0,3.43,0,0,0,0,0
 10-12,0,0,3.24,0,0,0,0,0,0,0,0,38.52,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.74,0.62,0,0,2.56,0,0,0,0
 36-46,0,0,0,0.81,0.78,0,0,0,0,0.58,0,1.87,0,0,0,3.74,0,0,0,0
 48-58,0,0,0,0,0,1.07,0,0,0,2.2,0,0.57,0,0.95,0,0.99,0,0.58,0,0
 60-70,0,0,0,0,0,0,0.63,0,1.22,15.76,0,10.2,0,0,0,1.58,0.6,0,0,0
 72-82,0,0,0,0,0.87,0,0,0,0,2.23,10.04,0,0,0,0,0.81,0,0,1.88,5.52
 84-94,0,0,0,0,0,0,0,0,1.82,5.47,0,1.15,0,1.91,0,0,0,1.16,0,0
 96-106,0,0,0,0,0,0,0,0.88,3.99,7.53,2.38,2.07,0,1.14,0,0,0,0,0,0
108-118,0,0,0.65,0,0,1.04,0,0,0,2.93,0.92,0,1.51,5.56,0,0,0,1.75,3.72,0
120,0,0,0,1.65,0,0,1.68,4.46,0,20.55,0,14.41,3.77,3.15,0,0,0,1.62,0,0
