stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,198.28,5788.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.6,0,0,0,0,0,0,0,0,0
  5-6,643.18,9108.06,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.08,20.63,0,0,104.96,0,136.78,0,0,0,0,0,0,0,0,0
  7-9,95.54,146.88,130.15,0,0,0,506.37,0,0,0,0,49.08,0,0,0,0,0,0,0,0,0,0,0,4365.59,125.45,0,0,1302.09,0,8.63,32.27,0,0,0,0,0,0,0,0
 10-12,0,104.32,138.95,0,12.79,0,303.87,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,2637.33,52.41,0,0,1092.84,0,0,17.92,0,115.83,0,4.33,0,0,0,0
 14-21,0,0,6.98,27.99,36.82,0,29.48,0,0,30.93,3.01,0,0,0,0,0,0,0,0,37.26,0,0,33.59,458.89,5.55,2.11,13.75,30.28,0,6.2,0.91,47,1.01,27.67,178.62,0,5.98,0,0.84
 24-34,0,0,2.29,13.02,4.12,0,98.62,0,1.3,26.85,0.91,2.95,1.13,0,0,0.83,0,0.61,0,68.33,0,0,28.28,576.58,2.49,3.35,7.3,0,0,7.35,0,0,0,3.71,152.37,0,22.34,0,0
 36-46,0,0,0,7.1,1.92,0,79.22,0,1.41,12.92,0,0,0.63,0,0,2.31,2.14,2.39,0,75.78,0,0,14.17,304.94,1.09,4.31,8.91,0,0,2.87,0,0,0,0,90.39,0,3.45,0,1.63
 48-58,0,0,0.4,21.6,0,0,56.35,2.96,0.87,9.51,0,0,1.99,0.5,0,2.82,0.39,2.91,0,43.34,0.53,0.43,16.43,133.68,10.97,0,0.92,0,0,0.82,0,0,0,0,27.54,0,7.86,0,1.27
 60-70,0,0,0,23.21,2.26,0,56.1,0,1.35,24.45,4.79,0,0,0.99,0,0.87,0,0,0,53.49,0,8.38,8.25,107.91,0,0,0.65,0,0,5.76,0,0,0,0,10.08,0,4.73,0,0.79
 72-82,0,0,0,9.21,2.68,0.76,20.62,0,0.77,33.23,0,0,2.28,2.31,0,0.57,1.05,0,0,31.26,0,2.8,4.55,92.04,3.31,0,0,0,0,0,0,0,0,0,12.34,0.75,5.58,0,7.9
 84-94,0,0,1.04,13.01,2.5,0,30.42,0.63,1.06,22.95,0,0,0,3.54,0,1.52,0.78,0,3.29,52.49,0,3.82,12.58,62.02,1.22,0.7,9.71,0,8.14,4.92,0,0,0,0,20.94,0,18.27,0.98,11.26
 96-106,0,0,0,4.65,4.63,0,30.3,0,1.26,20.15,0,0,2.81,11.3,0.56,0,3.21,9.08,0,31.71,0,1.27,2.82,71.41,1.48,0,1.51,0,0,2.34,0,0,0,0,3.77,0,6.8,0.76,5.9
108-118,0,0,0,9.46,13.23,0,21.78,1.77,1.9,21.24,0.9,0,0,13.09,0.57,3.91,0,0,0,37.33,0,0,6.05,120.22,0.96,0,2.25,0,2.43,3.64,0,0,0,0,5.19,0,12.14,0.5,0
120,0,0,0,11.04,5.53,0,27.33,1.49,0,40.56,1.14,0,0,56.31,0,3.6,1.6,0,0,41.78,0,0,1.82,165.79,1.45,0,0,0,0,0,0,0,0,0,10.95,0,33.27,0,0
