stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,0,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,11.25,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0,0,3.37,0,0,0
 10-12,0,0,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,19.39,0,0,0
 14-21,0,0,0,0,0,0.86,0,0,0,0,0,0,0,5.79,0.87,0.84,0,0,0,0.9
 24-34,0,0,0,0,0,1.95,0,0,0,0,0,0,1.47,7.73,0,0,0,0.59,0,0
 36-46,0,0,0,0,0,1.56,0,0,0,0,0,0,3.92,13.69,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.97,0.39,0.56,0,0,0,0,0,8.34,0,0,0,0,0,1.96
 60-70,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0.85,0,0,0,0
 72-82,0,0,0,0,1.65,5.42,0,0,0,0.66,0,4.94,1.21,2.81,0,0,0,0,2.46,0
 84-94,0,0,0,0,0,1.78,0,0,0,0,0,13.57,2.68,0,0,0,0,0,0,0
 96-106,0,0,0.61,1.32,4.43,0.87,2.75,0.79,1.41,0,0,14.56,3.44,3.1,0,0,0,0,0,0
108-118,0,0,0.46,0,2.43,3.52,0,3.61,0,0,0.8,26.69,2.57,9.23,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.54,0,0,24.55,12.16,12.11,0,0,0,0,0,0
