stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,19.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,10.37,0,0,0,0,0,0,0,0,0,0,0,0,13.71,4.27,0,0,9.22,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,47.36,0,0,0,5.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.03,0,0,0,0,1.08,0,0,0,0,0,0,2.24,0,0.92,14.86,0,0,0.95,0,0,1.4,1.48,1.41,4.15,0,1.06,0,0
 24-34,0,0,0.64,0,2.71,0,0,0,0,0,0,0,0,0,2.35,0,0,24.73,1.81,0,0,0,1.39,0,0,0.63,3.43,0,0,0,0
 36-46,0,0,0.59,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0.68,0,0,0,0
 48-58,0,0,0.4,0,13.3,0,0,2.51,0,0,0,0,0,0.8,1.5,0,0.58,4.33,0,7.15,0,0,0,0,0,0,5.53,0,0,0,0.95
 60-70,0,0,0,0,4.05,0,0,2.9,0,0,0,0,0,0,11.32,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.68,0,0,4.49,0,0.8,5.29,0.51,0,0,0.64,0.79,0,4.35,0,0,5.63,0,3.34,0,0,2.16,0,0,0,1.71,1.45,0,0,0
 84-94,0,0,0,0,4.68,0,0,0,0,0,3.26,0,0,0,3.28,0,0,7.91,0,3.56,1.5,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.57,1.1,0,0,1.21,0,0,0,0,0,0,0,1.55,0,0,1.79,0,0.93,1.17,0,0,0,0,0,0,0,0,2,0
108-118,0,0,0,0,7.61,0.47,0,3.23,0,0,1.06,1.78,0,0,0,0.46,0,1.39,0,2.31,4.54,0,0,0,0,0,0,1.1,1.87,0,0
120,0,0,0,0,0,0,0,8.05,0,0,0,4.01,0,0,4.15,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0
