stage,blastomeres,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0
  7-9,12.09,0,0,0,0,0,0,0,14.33,7.34,15.9,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,25.98,4.01,6.41,0,0,0,0
 14-21,0,1.5,0,2.04,0,0,0,0,16.88,0,0,0,0.85,5.17,0
 24-34,0,0,0,1.49,0,0.65,0,0,11.8,0,0,0,0,0.84,0
 36-46,0,0,0,0,2.85,0,0.97,0.84,13.74,0,0,0,0,1.86,0
 48-58,0,0,0,1.46,0,0,0.39,0,5.43,0,0,0,0,0.37,0
 60-70,0,0,0,3.11,2.17,0,0.86,0,12.3,0,0,1.87,0,0,0
 72-82,0,0,0,2.88,0,0.6,1.05,0,9.42,0,0,0,0,0,0
 84-94,0,0,0.94,0.91,0,0,0,0,6.51,0,0,0,0,0,0
 96-106,0,0,0,1.22,0,0,0,0,3.6,0,0,0,0,0,0
108-118,0,0,0,6.97,0,0,4.35,0,4.82,0,0,0,0,0,1.05
120,0,0,0,0,13.23,0,9.3,0,9.96,0,0,0,0,0,0
