stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.18,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.31,0,0,0,24.68,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,14.19,72.22,9.07,11.56,0,6.83,0,0,0,1.43,0.81,13.63,0,0,7.51,0,0,12.85,0,2.93,1.25,0,1.26,540.38,0,8.35,0,1.21,0,1.92,2.64,0,0,0.93,273.1,0,0,0,0,0
 24-34,0,2.76,18.99,5.03,1.54,0,27.78,0,2.43,0,4.69,0,0,0.62,0,34.31,0,0,15.94,0,9.3,2.09,0,1.64,1780.62,2.07,39.66,0,0,0,1.57,0,0,3.34,2.86,607.44,0,0,7.75,0,0
 36-46,0,0.73,1.88,5.09,0,0,46.87,0,0,0,7.54,1.46,0,0.65,0,7.04,0,3.76,28.42,0,9.44,0,0,0,3067.12,0,35.11,0,0,0,13.96,0,0.58,0,0,687.63,0,0,14.28,0,0
 48-58,0,0,0,9.32,0.38,0,261.52,0.67,4.38,0.77,30.33,0,0,0.87,0,11.17,0,0,15.06,1.35,26.05,0.99,1.66,1.51,2802.44,2.93,35.48,0,0,0,2.73,0.92,6.1,0,0,525.64,0,0,2.43,0,4.65
 60-70,0,1.15,0,7.2,0.81,0,919.78,0,2.27,0.64,19.36,0.83,0,0,0,1.67,0,1.16,20.71,0,15.62,3.21,6.11,2.39,3375.35,1.36,38.79,0.78,0,0,11.64,0,0,0,0,455.72,0,0,1.45,0,0
 72-82,0,1.51,0,12.15,4.29,0,883.04,0,0.7,3.97,47.08,4.97,0,0.75,6.66,4.42,0,0.92,12.05,0,37.75,0,0,4.92,2525.74,0,89.03,3.41,0,0,0,0,0,0,0,285.25,0,0.96,3.31,1.55,6.09
 84-94,0,0.94,0,11.97,0.69,11.79,769.42,1.03,1.34,1.18,33.04,3.96,0,0,1.52,8.07,0,0,5.15,3.32,34.58,1.28,1.24,2.83,1725.61,0,57.14,3.03,0,0,0,0,0,0,0,210.43,1.98,0.56,6.42,0.87,2.68
 96-106,0,7.74,0,27.25,0,0,787.44,1.72,0,0,71.6,6.02,0,1.98,0.77,2.33,0.75,2.27,2.82,0,28.9,1.42,2.75,0.56,1461.39,0,111.7,0.56,0,0.81,5.69,0,0,1.56,0,70.09,4.79,0,8.43,1.5,0
108-118,0,2.08,0,19.04,3.27,3.64,646.48,0,0.95,0,54.66,3.89,0,0,0.79,4.89,1.69,0,9.55,0,29.99,0,0,3.76,1899.82,0,87.8,3.07,0,8.04,1.98,0,0.94,0.86,0,72.53,23.51,0,6,1.48,5.43
120,0,3.73,0,12.41,5.21,1.71,470.03,0,0,0,67.45,0,0,0,15.9,11.96,0,0,16.11,0,70.51,0,0,0,2764.08,0,108.41,0,0,0,1.28,0,0,0,0,63.01,25.79,0,0,11.47,0
