stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.21,9770.97,6.35,0,0,0,37.78,0,0,2.71,7.91,2.32,0,24.39,0,0,0,0,16.5,51.67,0,5.84,43.69,0.89,1.23,1.53,0,27.87,3.99,1.04,2.5,4.12,14.41,0,0,0.81,0,0
 24-34,0,1.88,6623.06,0.81,0,18.86,0,590.17,0,4.63,0,2.22,3.73,2.23,3.57,0,1.2,3.37,9.34,34.95,97.64,0.89,31.59,243.17,0.67,10.18,2.86,0,11.8,0,0,0,0.6,39.96,0,0,4.76,0,0.6
 36-46,0,0,4209.08,0,0,25.34,0,1225.53,10.33,3.81,0,0,11.03,1.62,7.87,0,0.66,6.28,0,37.12,45.27,3.3,8.05,163.28,6.6,8.52,1.44,0,28.2,0,3.27,4.33,0,26.48,0,0,2.61,0,0.9
 48-58,0,0,3159.89,0,0,59.9,0,1310.06,6.93,12.29,0,0,1.06,7.83,3.23,0,0.38,0,2.21,35.61,29.34,2.66,4.55,167.07,0,6.16,5.58,0,4.04,0,0,0.39,0,21.01,0,0,6.24,0,8.13
 60-70,0,0.7,3018.06,0,0,47.93,0,1251.7,2.05,2.94,2.77,0,0.99,16.28,1.44,0,11.17,0,0,64.12,48.65,2.82,14.31,92.1,0,2.34,10.82,3.41,14.53,0,4.38,0,0,14.74,3.41,0,0.66,0.99,20.86
 72-82,0,2.54,2308.3,2,0,51.9,0,953.91,5.16,12.13,5.96,0,1.42,11.25,8.7,0,2.94,0,0,86.95,30.24,11.69,16.47,136.71,0,25.6,9.16,0,4.8,0,0,0,0,7.56,5.93,0.88,6.56,2.53,7.57
 84-94,0.62,0,5347.01,3.89,0,25.05,0,1892.15,1.47,12.56,14.88,0,2.75,35.63,16.87,3.27,1.57,0,0,108.31,43.14,1.8,15.9,136.51,0.61,35.26,16.59,0,31.29,0,1.05,0,0,13.19,28.87,0,4.76,3.08,12.13
 96-106,0,2.56,4721.55,14.5,0,60.88,1.69,1494.75,9.44,15.09,33.65,0,0,19.7,22.51,0,5.28,1.03,0,84.3,69.69,4.95,13.33,161.37,0.59,43.01,23.65,0,18.42,0,4.26,0,0,7.72,19.75,0,5.78,1.58,1.41
108-118,0,0,5626.85,3.62,0.96,41.46,0,2389.68,6.21,9.35,96.05,0,1.62,32.56,25.65,0,6.75,6.84,1.1,166.29,47.22,4.45,20.54,113.18,0,28.88,23.57,3.86,16.16,0,2.45,0,0,3.95,68.2,7.9,2.35,8.41,5.04
120,0,0,2700.4,2.21,0,39.62,0,1173.7,0,27.31,24.05,0,0,44.94,14.43,0,2.64,16.96,0,75.53,29.34,0,5.81,139.48,2.51,14.49,29.45,0,2.35,0,2.12,0,0,0,18.36,1.54,1.26,3.69,0
