stage,epidermis,eye,fast_muscle,glial,heart,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,6.97,0,0,9.95,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.86,0,0,0,0,0.96,0,0
 36-46,0,0,0,0,0,0.57,0,3.56,2.54,0.7,0,0,0,0,0
 48-58,0,0,0,0.52,0,0,0.61,1.68,0,0.66,0,0,0.7,0,0
 60-70,0,0,1,0,0,1.95,0.87,1.37,0,0,0,0,0,0,0.72
 72-82,0,0,0,1.09,0,4.9,0,1.54,0,0,0,2.68,0,0.52,0
 84-94,0,1.12,1.49,0,0,0.97,0,0,0,2.69,0,0,0,0,0
 96-106,0,0,6.15,0,0.69,0,1.04,0.69,0,0.76,0,0.61,0,0,0
108-118,0,0,2.47,0,0,0,1.72,3.73,0,0,0,0,0,0,0
120,1.43,0,9.15,0,0,0,0,33.01,0,3.16,0,3.98,0,0,0
