stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.17,4.35,0,1.9,0,0,0,0,0,0,73.15,0,0,0,0,0,0,0,0.99,10.45,1.57,0,0,0,0,0,0,0.87,0,0,0,0,0,0
 24-34,0.69,0,0,5.13,0,0,0.63,2.39,0,0,220.35,0.62,0,0,0,0,0,0,6.32,48.68,0,0.69,1.03,0,0,5.26,0,1.26,17.89,0,0,0.74,0,5.75
 36-46,2.61,9.95,0,16.21,3.14,0,0,12.26,0.59,0,804.76,0.99,0,0,0,9.99,0,0,4.99,105.51,0,3.2,0,0,2.35,0,0,0.94,28.55,0,0,1.58,0,0
 48-58,2.9,0,0,20.4,0.6,0,0.56,15.99,2.58,0,291.07,5.92,3.42,0,0.88,15.42,0,0.51,5.62,53.13,0.8,0.47,0,0,2.67,0.42,0,0,17.72,0,0,0.97,0,1.86
 60-70,0,0,0,28.12,4.81,1.36,0,20.49,0,0,740.07,0,0,0,0,13.73,0,0.93,4.56,86.18,2.21,0,0,0,9.6,3.28,0,0,14.79,0,0.61,0,0.98,6.99
 72-82,4.04,0,0,26.87,0,0,0,25.04,0.92,1.42,132.46,0.53,0,0,2.93,30.37,0.88,1.79,2.64,30.5,0,3.35,4.45,0,3.83,0,0,0,0,2.98,0,4.69,1.53,1.81
 84-94,1.78,4.66,0,19.96,1.34,0,1.73,37.17,0,0,240.31,0,1.43,0,0,18.34,0,0,0,20.87,0.7,0,0,0,2.94,1.5,0,0,2.85,0,2.09,0,0,0
 96-106,1.47,4.41,0,28.44,0.93,0,0.93,35.73,3.13,0,361.84,8.3,0,3.28,0,25.17,1.52,0.68,2.15,74.65,0,5.11,2.08,0.81,4.7,0,0,0,6.24,0,0,0,4.14,0
108-118,7.68,0.76,5.75,23.22,1.33,0,0,32.11,1.35,0,245.98,3.49,0,0.47,1.23,18.93,0,1.03,2.8,75.09,0,1.64,2.16,3.38,1.5,0,0.99,0,1.72,1.8,0,2.21,0,4.49
120,5.22,0,0,0,0,1.25,0,21.03,3.99,0,373.42,0,6.25,1.77,3.24,32.7,0,0,1.11,47.73,0,13.83,6.79,0,7.51,0,0,0,11.49,0,5.11,0,0,0
