stage,blastomeres,eye,glial,gut,hatching.gland,heart,immune,mesenchyme,mural.cell,neural,otic,periderm,pronephros,spinal.cord
  5-6,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,9,0,1.46,0,3.07
 24-34,0,0.64,1.96,0,0,0,0,0,0,53.08,0,0,1.25,14.16
 36-46,0,0,6.48,0,0.59,0.56,0,2.12,0,33.1,0,0,1.57,12.48
 48-58,0,4.17,4.66,0,0,0,0,0,0,16.9,0,0,7.88,6.88
 60-70,0,13.78,5.85,0,0,0,0,1.57,0,3.93,1.49,0,1.27,1.63
 72-82,0,7.29,4.34,0,0,0,0,0,1.11,5.87,0,0,6.98,0
 84-94,0,7.3,3.64,0,0,0,0.81,0.64,0,2.93,0,0,4.35,0
 96-106,0,3.85,6.77,0.64,0,0,0,0,0,2.71,3.89,0,0.6,0
108-118,0,19.87,1.01,0.52,0,0,0,0,0,9.1,1.26,0,0,0
120,0,16.32,18.45,5.8,0,0,0,0,0,0,0,0,0,17.7
