stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,17.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.87,0,22.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.51,2.69,2.66,0,0,0,0,0,0,0.82,0,0,0,0,0.81,0,0,10.23,0,0,0,0,0.86,10.55,1.86,2.97,0,0,0,0
 24-34,0,0,0,3.98,0,0,0,2.63,0,0,0,0.76,0.67,0,0,0,0,2.37,0,3.83,31.7,0.64,0,0,3.58,0,12.68,0.62,10.23,0,4.59,0,0
 36-46,0,0,0,0,1.54,0,0,3.66,0,1.85,0,0.73,0.59,0,0,0,0,7.23,0,1.39,26.86,0,0,0,0.97,0,4.66,0,8.88,0,0,0,0
 48-58,0,0,0,0.6,0,0,0,2.65,0,0,2.98,0.42,0,0,0,0,1.04,5.82,0.56,1.11,22.17,0,0,0,0,0,5.46,0,1.94,0,2.83,0,0.83
 60-70,0,0,0,0,0,0,0,7.69,0,0.96,3.19,0.6,0,0.66,0,0,1.98,6.4,0,1.15,18.46,0,0,0.63,4.33,0,0.82,0,1.58,0.61,0.84,0,0
 72-82,0,0,0,0.62,0,4.31,1.13,4.11,0,0,2.82,1.11,1.3,1.32,0,0.81,3.06,10.7,5.33,2.49,36.19,0,0,0,1.09,0,1.33,0,5.75,0,21.76,2.72,0
 84-94,0,0,0,0.61,0,0,11.01,7.77,0,0,1.19,1.28,0,4.06,0,0,11.17,6.01,0.82,3.83,5.85,0,0,2.65,4.07,0,3.17,0,0.95,0,8.22,0,0
 96-106,0,0,1.68,1.84,4.01,7.51,4.03,3.83,0,0,4.47,0.82,2.29,1.33,3.85,0,16.04,8.27,2.3,3.19,2.95,0,0,17.4,11.78,0,4.78,0,0,0,49.43,1.62,0
108-118,0,0,1.56,3.17,4.49,0,21.33,11.21,1.15,0,0,1.09,0.63,2,9.83,0,31.83,8.64,5.67,2.91,16,0,0,2.57,1.03,0,7.34,0,0,0,36.7,3.69,0
120,0,0,0,0,10.22,0,14.85,0,0,10.7,0,0,0,7.35,0,5.73,48.42,18.76,0,0,27.56,0,0,0,0,0,0,0,0,0,16.46,0,0
