stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,73.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.19,52.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,0,0,7.11,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.46,27.78,0,0,19.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,68.45,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.72,127.24,0,0,39,0,0,0,11.24,0,5.74,0,0,0,0,0,0
 14-21,0,0,29.43,7.87,52.18,14.04,1.83,0,0,0,3.06,3.64,0,2.76,0,9,0,0,0,0,31.7,0.82,0,33.57,24.54,6.52,6.91,2.14,3.94,0,0,3.76,0,6.25,17.72,79.56,0,0,10.61,0,0
 24-34,0,0,12.68,2.2,23.23,0,0,0,1.53,0.76,0.77,0,2.87,0.76,5.49,27.47,0,0.68,0,0,36.37,6.86,0,25.29,84.17,6.56,81.13,3.15,0,0,0,0,0,0,1.22,42.42,0,0,52.98,0,1.71
 36-46,0,0,5.13,0,37.23,0,1.02,0,2.9,0,4.31,0.56,0.76,3.05,0,12.89,0,7.98,0,7.5,39.72,4.57,1.14,14.26,180.02,4.39,45.57,3.52,0,0,1.07,0,0,0,0,28.28,0,0,20.21,0,0
 48-58,0,0,2.64,0,35.92,0,5.3,0,7.57,4.09,1.47,0,1.08,1.54,8.46,18.68,0.47,5.19,0,10.05,51.86,10.17,0,11.18,149.56,1.53,52.69,2.41,0,0.39,0.59,0,0,0,0,35.38,0,0,19.46,0,0
 60-70,0,0,7.58,0,54.78,0,1.57,0,13.7,4.39,19.02,6.81,7.44,1.37,5.13,7.36,0,4.95,0,0,96.27,2.48,3.21,17.83,80.38,0.71,29.87,4.31,0,2.89,0.8,0,0,0,0,8.75,0.61,2.27,31.92,4.18,0
 72-82,0,0,17.6,0.78,43.4,0,6.96,1.78,10.01,10.49,34.27,16.08,1.59,7.6,8.56,31.36,5.53,10.05,0,0,173.17,17.25,3.69,15.15,83.25,2.2,52.35,7.47,0,1.55,2.23,0,1.23,0,0,18.18,15.71,4.31,67.16,5.13,2.26
 84-94,0,0,19.83,0,79.31,2.67,16.66,0.73,27.29,7.18,12.89,18.99,4.93,4.86,7.74,29.18,18.26,18.89,0.82,12.89,169.36,17.15,6.38,21.31,115.03,3.2,44.5,9.11,0,8.87,7.32,0,2.87,0,0,13.43,29.69,4.22,61.56,14.04,2.45
 96-106,1.12,0,17.58,0,96.77,2.12,33.04,0,17.22,14.57,29.64,32.68,0,7.51,8.04,49.6,3.49,32.72,0.84,10.65,226.51,18.34,9.2,20.27,148.04,2.59,90,19.83,0,19.47,12.14,0,0,0,0,36.18,48.19,8.81,64.21,12.15,6.59
108-118,0,0,22,0,96.18,3.05,26.69,0.54,28.04,4.75,33.65,30.66,0,2.17,14,42.33,17.41,23.83,2.29,5.2,261.11,19.5,2.22,12.85,172.45,4.39,64.01,17.31,0,27.02,3.57,0,0.51,0,0,11.53,83.11,7,73.67,5.82,24.84
120,0,0,18.29,0,110.1,1.14,18.27,7.8,17.86,3.89,18.83,16.13,0,1.17,9.23,38,19.45,5.36,3.55,1.79,123.26,13.5,23.63,3.79,119.87,1.32,43.53,18.82,0,39.82,5.03,0,0,0,0,2.78,24.72,4.37,61.35,0,2.08
