stage,blastomeres,eye,glial,mesenchyme,muscle,neural,olfactory,otic,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  3-4,51.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10,0,0,0,0,0,0
 10-12,0,0,0,0,0,10.72,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.87,0,0,1.44,0,1.78,0
 24-34,0,0,0,4.01,0,14.76,0,0,0,0,3.14,1.05
 36-46,0,0,0,0,0.59,31.68,0,10.76,0,0,7.7,0
 48-58,0,0,0,0.87,0,34.42,0,0,0,0,8.9,0
 60-70,0,6.59,0,0.85,0,56.9,0,0,0,0.86,4.94,0
 72-82,0,9.57,3.8,8.7,0,52.97,1.07,0,0,0,4.05,0
 84-94,0,2.8,0,0,0,58.36,0,0,0,0,1.98,0
 96-106,0,19.77,0,2.78,0,42.22,0,0,0,0,4.94,0
108-118,0,9.93,0,4.64,0,36.69,0,0,0,0,0,0
120,0,12.81,16.01,11.99,0,93.92,0,0,0,0,3.29,0
