stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.05,0,0,0,0,0,0,0,0,0
  5-6,26.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.2,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.74,0,0,0,6.9,0,0,0,0,0,16.22,0,0,0,0,0,0,0,36.06,12.13,0,0,0,117.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,4.73,0,0,8.32,49.58,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.89,25.27,0,0,0,0,0,0,0,1.38,0,1.15,4.34,0,0,3.56,0.97,0,4.58,8.7,0,0.91,4.61,261.31,1.09,4.39,0,4.09,0,0,0,0,0
 24-34,0,0,1.4,13.15,0,0,2.63,0,1.45,0,1.15,2.5,0,2.02,21.66,2.46,0,7.5,4.7,0,56.58,1.6,6.33,1.5,0,678.29,0,4.12,0,5.38,0,0,1.49,0,0
 36-46,0,0,0,2.47,0,0,0.67,0,0,0.65,1.16,0.59,8.88,2.31,46.79,3.31,0,0.69,2.85,0,22.17,13.91,11.39,1.88,0,1084.29,0,26.45,0,0.71,0,0,0,0,1.52
 48-58,0,0,0,15.13,2.95,0,9.8,0,10.38,0,1.22,0.87,5.85,7.48,7.04,0.92,8.55,2.64,7.24,1.39,53.26,0,5.51,4.03,0,700.82,0,1.33,0,9.55,0,0,2.26,0,0
 60-70,0,0,0,36.62,0,0,29.53,0,16.5,0,0,4.35,1.77,5.78,4.52,8.54,0,2.12,7.18,1.01,39.15,0,20.76,0.78,0,787.31,0,7.57,0,4.14,3.21,0,0,0,0
 72-82,0,0.54,0,27.61,4.12,0,22.16,2.62,3.74,0.56,9.53,2.36,5.34,3.19,18.12,26.01,0,4.89,10.47,2.41,26.37,0.56,18.18,4.42,0,654.18,0,1.47,1.5,6.59,1.15,0,6.62,0,0
 84-94,0,0,0,43.04,0,0,0.89,0,16.52,1.05,0,7.63,14.3,6.75,35.88,12.47,0,10.58,9.71,0.69,24.78,0,21.59,14.44,0,1474.57,0,9.66,0,0.61,5.6,0,0,0,0
 96-106,0,0,0,125.36,0,5.27,36.87,0.79,21.68,0,8.69,16.45,1.32,15.5,50.2,33.06,7.38,3.45,26.2,1.59,63.1,0,35.96,8.68,0,1936.96,0,8.86,0.69,0,5.68,0,1.58,0,0
108-118,0,0,0,140.33,1.37,0,14.29,1.22,40.15,0,13.08,22.18,0,15.2,63.01,23,7.04,13.54,43.35,0,37.36,0,24.41,4.38,0,1622.43,0,5.99,0,1.81,18.04,0.9,1.97,1.09,4.4
120,0,0,0,184.28,2.03,0,34.32,0,65.4,0,11.95,17.3,5.2,16.31,50.72,18.82,1.29,29.44,9.53,0,32.84,7.66,80.59,12.14,0,1257.23,0,7.5,0,0,0,0,13.33,0,0
