stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,11.1,46.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,83.28,0,0,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0
  7-9,0,5.25,0,0,0,12.31,0,0,3.55,0,0,0,0,77.13,0,35.31,0,0,0
 10-12,0,0,14.42,0,0,21.09,0,0,0,0,0,0,0,105.81,14.05,33.99,0,0,0
 14-21,0,0,0,0.98,1.23,0.98,0,0,0,0,0,0.96,1.12,6.97,0,0,0.88,1.27,0
 24-34,0,0,0,1.01,0,0,0,0.87,0,0,0,0,0,12.68,0,0,0,2,0.61
 36-46,0,0,0,0,0,2.79,0.96,2.33,0,0,0,2.01,0,24.17,0,0,0,11.11,0
 48-58,0,0,0,0,0,3.65,0,1.97,0,0,2.02,4.46,0,9.32,0,0,0,2.97,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.87,9.47,0,0,0,0,0
 72-82,0,0,0,0,0,4.86,0,0,0,0.51,0,3.56,1.13,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.74,0,0,0,3.8,0,0,0,0,0,1.49,0
 96-106,0,0,0,0,0,0.8,4.95,2.59,0,0,0,2.04,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.93,0.56,0,0,0,0,0,0.86
120,0,0,0,1.6,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0
