stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0
 24-34,0,0,8.42,0.68,0,0,0,0,0.68,0,10.7,0,0,0,3.1,0
 36-46,0,0,23.44,5.13,2,0,0,0,3.08,0.83,24.01,0,0,0,2.85,0
 48-58,1.76,0,16.57,0,0,0,0,0,3.73,0,20.02,0.97,0,0,0,0
 60-70,3.79,0,20.13,0,0,11.06,0,0,1.81,0,13.47,0,0,5.36,0,0
 72-82,0,0,39.9,1.28,0,0,0.63,1.36,11.29,4.97,17.04,0,1.21,0,1.09,0
 84-94,0,0,23.52,0,0.69,0.86,0.6,0,1.53,0,17.26,0,0,0.94,0,1
 96-106,0,0,20.36,0,0,3.37,0,0,3.8,0,5.8,0,0,0.75,0,0
108-118,0,0.46,32.32,0,0,0,0,0,3.79,0,12.63,0,0,0,0,1.09
120,2.07,0,62.02,0,0,0,0,0,2.42,0,15.77,0,0,0,0,0
