stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.54,0,0,0,0,0,0,0,0,0,220.42,0,0,0,0,0,0,0,0,0,0,0,19.95,0,0,0,5.89,0,0,5.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,36.8,0,17.7,0,0,0,0,0,0,0,183.42,0,0,0,0,0,0,0,0,0,0,0,109.54,7.02,0,0,34.23,0,0,0,0,0,0,5.78,0,0,0,0,0,0
 14-21,0,0,11.59,160.14,35.46,0,3.01,0,0,0,0,23.94,4.95,0,0,28.99,0,0,0.97,32.11,7.91,9.49,0,0,24.59,167.13,0,0,0,0,0.84,0,3.68,4.9,1.91,4.04,14.99,0,0,8.92,0,0
 24-34,0,1.56,1.84,107.96,1.42,0,83.19,0,22.07,0,0.9,3.54,0.76,0,0,83.54,0,0,5.15,216.12,36.14,74.86,0,0,94.06,16.67,2.34,18.55,1,0,7.73,0,0,1.02,0,0,12.63,0,0,37.75,0,4.5
 36-46,0,0.98,3.43,105.57,0,0,30.37,2.03,99.17,0.6,0,2.52,1.27,0.72,0,39.92,0,3.34,7.3,362.19,62.39,52.47,0,6.44,107.26,12.59,4.38,4.64,0,1.69,3.73,0,0,2.95,0,0,6.19,0,0,17.09,0,0
 48-58,0,0.54,0,139.07,4.07,0,32.69,3.88,62.17,1.52,9.68,0,0.76,0.42,0,43.83,8.83,1.2,0,518.22,38.24,73.3,0.46,6.57,92.86,4.56,2.21,8.78,0,0.61,12.1,0,0,0,0,0,6.79,0,0.61,39.45,0,1.51
 60-70,0,1.99,0,82.92,0.61,0,42.76,0.99,82.97,0,38.09,8.17,2.97,0.79,0,43.22,6.53,5.88,0,289.86,74.07,95.54,0,2.25,83.12,4.69,3.07,18.76,0,0,4.65,0,0,0.71,0,0,6.03,2.45,3.62,24.19,0,3.97
 72-82,0,2,0,67.7,3.8,0,58.38,0,73.44,4.58,21.38,61.62,3.33,2.04,3.13,27.63,0,12.56,15.64,348.18,63.76,145.29,0,5.79,160.61,0,12.9,20.9,0,0,1.47,0,0,2.23,0,0,9.6,1.9,4.58,53.48,2.93,0
 84-94,0,5.51,0,135.81,3.09,0.59,64.64,0.79,121.8,4.96,14.68,90.23,8.72,7.84,8.14,9.81,3.06,8.08,9.21,800.71,86.87,186.67,2.35,4.63,62.41,1.7,11.95,31.43,0,0,12.06,0,0,6.71,0,0,27.86,2.53,0,58.12,0,0
 96-106,0,3.53,0,110.86,18.3,0,109.95,0,70.44,2.64,29.99,133.88,2.12,7.86,11.33,13,1.28,20.34,9.4,426.54,65.86,233.78,0,2.21,147.77,0,13.51,35.49,0,1.03,13.3,0,0,1.41,0,0,6.27,2.22,3.8,41.98,1.7,0
108-118,0,1.97,0,140.15,11.17,6.72,134.26,0,149.26,1.14,46.01,162.91,0,5.93,5.66,10.93,7.66,7.76,14.81,859.55,139.28,325.53,1.03,1.02,147.57,4.9,12.27,43.12,0,0,12.31,0,0,1.46,0,0,9.95,3.18,2.65,51.9,2.12,0
120,0,0,0,126.13,21.77,16.81,85.65,0,182.03,0,34.35,192.83,0,0,4.84,30.63,0,35.82,0,375.76,199.28,309.17,29.88,8.91,425.17,0,14.18,98.53,0,0,21.55,0,0,1.13,0,0,8.48,1.83,8.19,56.66,0,0
