stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  3-4,26.16,892.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.71,0,0
  5-6,21.42,521.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,11.32,0,0
 10-12,0,0,0,0,7.73,0,0,0,0,0,0,0,0,35.23,0,0,3.86,27.55,4.47,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,9.72,0,9.36,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.84,0,0,0,22.87,0,0
 48-58,0,0,0,1.59,0,0,0,0,0,0,0,0,0,1.47,0,0,0,18.33,0,0
 60-70,0,0,0,6,0,0,1.25,0,0,0,0,0,0,2.58,0,0,0,10.77,0,0
 72-82,0,0,0.75,1.56,0,0,0,0,0,0,1.53,0.68,0,0,0,0,0,20.55,0,0
 84-94,0,0,0,2.9,0,0.58,0,0,0,0,0,0,0,2.43,0,0.91,0,65,0,0
 96-106,0,0,0,3.07,0.6,0.59,0.57,0,0.95,0,0.94,0,0.69,1.97,0,0,0,33.58,0,2.08
108-118,0,0,0,7.79,0,1.73,0,0.42,0,1.6,0.49,0,7.11,2.03,0,0,0,24.57,0,0.55
120,0,0,0,3.55,0,4.73,0,0,0,0,0,0,2.91,0,1.11,0,0,53.7,0,0
