stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.63,308.18,0,0,0,0,0,0,0,0,0,0,0,26.14,0,0,0,0,0,0,0,0,0,0,0,29.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.43,0,0,1195.92,0,0,0,8.53,0,0,0,0,0,160.48,0,0,0,0,0,0,0,0,0,0,0,516.93,0,0,0,44.72,0,3.92,0,0,0,0,0,0,0,0,0
 10-12,0,15.49,0,868.43,0,6.18,0,13.49,0,0,0,0,0,19.06,0,0,0,0,0,68.78,0,0,0,0,0,1150.9,24.68,0,0,143.46,0,0,28.27,0,5.73,0,0,0,0,0,0
 14-21,0,0,1.32,4.54,371.65,0,0,2.37,0,0,0,0,7.64,3.94,11.99,6.57,0,0,0,2306.06,0,78.14,0,0,12.94,32.38,4.58,0,0,0,0,0,0,2.53,5.02,4.03,0,0,0,0,0
 24-34,0,0,0.84,9.16,24.48,6.1,0,12.73,0,0,0,2.24,0.74,1.33,132.22,32.72,0,0,0,4608.37,0,152.83,1.59,0,23.96,168.77,16.63,3.58,0,0,0,0.72,0,0,1.34,55.88,0,0,4.89,0,0
 36-46,0,0,0,0,8.74,0,0,13.01,0,0,0,6.01,0,0,24.46,12.23,0,0,0,1956.89,6.13,26.1,0,0,1.22,136.22,0,0.9,1.82,0,1.69,0.56,0,0,0,16.11,0,0,0,0,3.32
 48-58,0,0,0,0,0.78,0,0,30.01,0,1.57,0,1.44,2.31,0,26.88,0.9,9.88,3.23,3.96,2347.3,0.98,84.64,0,0,3.73,106.49,0,0,0,0,0,5.77,0,0,0,21.96,0,0,6.37,0,0
 60-70,0,0,0,5.18,13.2,0,43.03,83.4,0.66,0,2.31,11.28,134.06,0,18.56,3.5,0,5.42,0,4301.77,0.88,81.99,0,11.9,1.84,305.57,0,8.69,0,0,0,24.83,0,0,0,53.96,0,10.13,25.38,0,1.79
 72-82,0,0,0,1.26,39.91,65.04,1.86,338.11,0.62,2.32,8.16,59.03,402.69,0,6.04,4.49,4.07,5.61,4.67,12126.39,0,194.47,1.34,16.08,16.36,937.19,6.76,4.28,14.67,0,3.85,105.68,0.56,0,0,36.97,10.79,8.65,18.14,2.74,36.2
 84-94,0,0,6.7,17.4,72.76,153.31,14.23,544.76,12.76,6.34,8.23,109.41,3738.4,2.66,20.52,19.44,4,8.19,17.61,55368.67,10.72,284.17,2.87,17.47,24.25,2069.59,6.67,32.41,7.73,0,6.31,247.91,0,0.63,0,67.75,31,26.92,37.86,16.38,46.95
 96-106,0,0,10.02,0,227.83,462.68,25.43,1292.87,12.78,48.69,34.66,365.18,2354.59,1.32,24.97,97.85,37.38,11.58,15.06,57104.61,18.69,841.41,32.03,29.09,86.41,7200.34,15.16,30.3,46.43,1.2,24.67,550.99,2.47,20.16,0,75.21,26.67,94.24,143.14,33.98,61.65
108-118,0,0,3.21,1.06,249.02,211.32,69.49,1420.56,8.57,48.14,55.03,322.36,2205.55,0,50.79,86.97,20.39,42.74,8.91,144347.99,16.94,1141.9,21.29,76.52,82.93,6546.75,51.28,33.49,52.97,0,60.17,449.71,15.55,5.7,0,129.94,19.32,27.42,91.88,20.58,130.6
120,0,0,11.66,0,137.01,164.68,5.33,832.36,14.72,49.89,42.63,297.21,1334.34,0,60.3,167.45,9.72,0,13.61,48128.13,0,810.49,1.59,104.82,56.03,4035.07,10.87,43.57,24.73,0,42.5,184.57,1.02,0,0,37.13,0,46.17,56.87,10.93,25.12
