stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,58.77,97.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.02,165.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.98,0,0,0,3.3,0,0,0,0,0,0,109.55,0,0,8.56,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,85.44,0,0,22.56,0,0,20.22,0,0,0,0
 14-21,0,0,3.02,2.91,2.74,0,0,0,0,0,13.95,0,0,0.97,1.14,22.76,1.39,0,0,0,2.14,0,0.84,5.7,0,0
 24-34,0,0,0,0,0.62,0,0.75,0,0,0,76.14,0,0,2.68,0.73,18.41,0.8,0,0,0.78,0,0,0,2.37,13.18,0
 36-46,0,0,0,0,0.96,0.72,0,0,0,0,132.6,0,0,0,0,36.35,4.08,0,0,0,0,0,0,2.77,5.29,0
 48-58,0,0,2.23,0,1.18,0.78,0.51,0,0,0,175.05,0,0,0.47,0.41,4.37,0,0,0,0,0,0,0,2.38,5.14,0
 60-70,0,0,0,0,7.4,0,0,0,0,0,123.36,0,0,1.36,0.63,1.33,0,0,0,0,0,0,0,0,5.09,0
 72-82,0,0,0,1.22,4.58,0,2.01,0,0,0,170.75,0,0,7.33,0,9.12,0,0,0,0,0,0,0,0,4.75,6.08
 84-94,0,0,0,0,1.23,0.75,2.49,2.71,0,0,224.4,0,0,1.37,0,2.65,0,0.88,0,2.8,0,0,0,0,0,0
 96-106,0,0,8.48,8.87,10.99,0,7.21,0,0,1.94,239.49,1.57,1.03,8.26,0,5.46,0,0,0,6.1,0,0,0,0,8.77,0
108-118,0,0,0,5.46,9.87,0,3.9,0.63,0,0,237.95,0,0,2.96,0,3.17,0,0,0,0,0,0,0,0,8.17,0
120,0,0,0,0,1.1,0,10.25,0,0,0,289.85,0,18.25,0,0,16.68,0,0,0,0,0,0,0,0,7.69,2.59
