stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1770.96,34766.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436.85,0,0,0,0,0,0,0,0,0,0
  5-6,3643.63,47190.62,0,28.37,0,0,0,0,0,0,0,0,0,99.1,0,0,0,0,0,0,0,0,0,0,0,1714.88,286.36,0,0,631.41,0,995.98,0,0,0,0,0,0,0,0,0,0
  7-9,609.8,805.2,0,1314.21,0,18.86,0,2567.41,0,0,0,0,0,823.61,0,0,0,0,0,0,0,0,0,0,0,24398.97,682.54,0,0,10615.77,0,140.67,115.47,0,12.75,0,0,0,0,0,0,0
 10-12,0,558.66,0,785.15,0,114.75,0,1254.55,0,0,0,0,0,203.56,0,0,0,0,0,0,0,0,0,0,0,12519.53,136.42,0,0,5658.8,0,35.82,69.07,25.22,770.96,0,35.3,27.3,0,0,0,0
 14-21,0,3.22,1.09,70.95,825.55,307.33,0,402.72,0,0,0,92.44,31.46,12.93,2.68,12.96,20.7,1.11,0,2.29,0,380.37,0,0,313.4,5123.17,141.27,34.79,69.06,237.39,0,185.6,1.4,902.56,45.22,3.47,542.12,1577.64,0,42.16,0,0
 24-34,0,0.83,0,13.33,224.27,135.85,0,938.02,0,1.03,6.02,136.92,9.36,19.65,4.9,35.56,2.61,26.17,5.32,8.29,7.51,755.39,6.98,0,268.28,8324.63,116.21,69.84,57.87,0,2.13,336.4,0,7.83,10.15,12.64,56.12,2028.85,0,238.71,0,24.82
 36-46,0,0,1.35,1.51,111.56,44.42,0,1763.46,0,4,0,133.26,4.13,0,6.96,45.48,1.79,16.19,3.92,4.55,15.37,510.88,3.33,11.19,188.2,5362.04,17.25,29.91,23.27,0,0.77,122.36,0,4.18,12.69,0,0.6,1271.15,0,108.57,0,13.21
 48-58,0,0,0,0.66,121.49,51.16,0,2335.44,0,6.44,1.34,131.26,10.13,0,8.14,29.95,0.56,11.94,1.64,6.91,5.2,595.11,1.6,46.97,130.94,2711.29,12.2,11.83,20.36,0,0,61.51,0,0,3.98,0.46,0,448.35,0,74.64,0,13.17
 60-70,0.81,0,0,0,77.93,3.88,0,1530.68,0,0,0,100.34,9.39,2,0.58,23.36,5.42,24.38,2.89,13.62,9.05,430.67,4.8,61.71,54.1,1114.07,3.29,1.99,10.61,0,0,42.79,0,0,1.17,0,0,56.54,2.96,33.26,0,17.26
 72-82,0,0,0,0,88.65,5.87,0,499.64,1.11,0,1.18,107.29,33.7,0,4.85,14.85,0.52,5.13,0,9.06,0,282.14,0.75,18.96,42.59,682.67,4.05,4.33,11.32,0,1.77,10.67,0,0,1.16,0,0,30.52,0.56,61.54,0,3.04
 84-94,0,0,0,0,105.06,28.07,7.32,462.15,0,0,0,69.84,57.41,0,1.61,28.69,5.98,15.09,1.96,16.9,0,254.24,0,22.45,52.37,576.51,8.65,5.18,11.85,0,0,19.98,0,0,10.75,0,0,10.47,10.36,57.33,3.06,0
 96-106,0,0,0,0,60.36,32.55,2.1,368.66,0,0.59,1.4,77.35,46.7,0,9.35,47.98,3.81,16.27,5.72,31.66,0,150.15,0,13.3,28.24,495.71,6.67,4.58,18.92,0,0.99,27.95,0,0,5.41,0,0,4.65,4.66,52.09,0.68,15.88
108-118,0,0,0,1.12,42.54,35.91,0.44,354.04,0,0.68,1.11,88.72,18.26,0,1.98,38.82,2.58,4.68,0.77,17.86,0.61,130.3,0.64,17.89,29.75,611.22,5.68,8.01,9.35,0,0,32.92,0.48,0,7.48,0,0,2.25,5.27,33.49,0,0.92
120,0,0,0,0,14.33,40.72,3.13,329.45,0,0,0,38.29,6.66,0,0,37.18,0,3.27,0,6.65,0,146.08,0,3.53,9.56,592.6,0,10.08,5.12,0,0,6.04,0,0,2.32,0,0,21.71,1.65,42.54,0,7.58
