stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,11.1,379.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0
  5-6,22.22,403.58,0,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,22.37,10.72,0,0,6.24,0,0,0,0,0,0,0,0
  7-9,16.33,20.54,0,11.12,0,0,30.68,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,434.21,21.46,0,0,80,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.4,0,11.33,47.8,0,0,0,0,0,30.42,0,0,0,0,0,0,0,0,0,0,375.24,3.92,0,0,129.87,0,4.19,13.24,11.22,0,0,0,0
 14-21,0,0,0,0,1.01,1.7,0.92,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,2.11,25.97,1.57,0,0,1.93,0,6.99,0,4.74,9.74,0,0,0
 24-34,0,0,0,0.67,0,0,6.64,0,0,0,3.95,0,0,0,0.73,0,0,0,0,6.22,0,0,1.64,123.67,1.14,0,0,0,1.92,0,0,1.19,25.1,0,0.82,0
 36-46,0,0,0,0,2.35,0,15.46,0,0,0.62,6.75,0,0,0,0,0,0,0,0,9.35,0,0,0,147.48,0,0,0.57,0,2.14,0,0,0,18.76,0,0,4.22
 48-58,0,0,0,0,1.82,0,25.35,0,0,0.86,7.32,0,0,0,0,0,0,0,0,3.28,0,0,0.83,117.27,0,1.09,0,0,0,0,0,0,18.51,0,4.13,0
 60-70,0,0,0,0,0.63,0,60.08,0.58,0,0,9.82,0,0,0,0,0,0,0,6.25,14.91,0,0,0,109.97,0,0,0,0,9.1,0,0,0,27.85,0,7.15,0
 72-82,0,0,0,0,2.17,0,56.44,0.5,0,0.89,4.9,0,0,0,0.55,0,0.79,0,0,13.89,0.92,0,0.51,79.12,0,0,0.79,0,1.49,0,0,0,7.09,0,0,0
 84-94,0,0,0.66,0,7.07,0,30.08,0,0,0,3.3,0,3.67,0.65,0,0,1.39,0,9.81,20.06,0.61,0.78,0.77,55.24,0,14.11,0,0,0,0,0,0,8.54,1.49,3.4,0
 96-106,0,0,0,0,1.12,7.15,27.11,0,0,0,12.35,0,0,0,1.25,0,0,1.13,0,6.32,0,0,1.09,44.57,0,1.82,1.91,0,0.88,0,0,0,5.47,0,8.43,0
108-118,0,0,0,0,2.13,7.7,36.14,0,0.42,0,5.44,1.96,0,0,0,1.05,0.51,0,0,8.87,0,3.86,1.92,75.06,0,0,1.29,0,2.68,0,0,0,0,0,0,0
120,0,0,0,0,6.37,3.49,34.16,0,2.37,0,20.56,0,0,14.35,0,0,0,0,0,24.16,0,0,1.24,60.04,0,0,1.66,0,5.99,0,0,0,3.8,0,0,0
