stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.52,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.14,38.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,141.13,166.92,0,2288.55,0,0,0,0,0,0,0,0,0,2.31,0,0,0,48.35,0,0,15.94,997.23,62.51,0,0,0,19.96,6.02,0,9.56,21.94,26.34,0,0,484.92,0,0
 24-34,0,0,0.62,0,57.99,43.48,0,3342.13,1.43,1.66,27.28,15.23,0,0,6.74,13.23,7.66,21.01,0,9.01,0,233.73,0.7,0,68.2,379.81,51.47,0.96,0,0,8.04,0,4,0.63,28.36,41.52,0,0,1557.7,0,2.64
 36-46,0,0,0,0,25.88,9.04,0,1911.53,0,20.18,114,132.26,0,0,2.43,20.92,0,130.85,0,0,0,444.45,1.33,0,68.82,490.97,115.06,0,0,0,12.51,4.14,22.84,0,0,57.21,0,0,757.92,0,0
 48-58,0,0,0,0,16.8,8.48,0,1772.52,0,5.69,166.75,564.84,0,0,4.65,24.29,4.62,279.9,3.99,10.23,0,999.89,3.51,1.14,41.35,462.34,34.17,1.07,2,0,9.28,0,3.74,0,0,129.49,0,0.42,480.23,0,7.58
 60-70,0,0,1.76,0,13.71,0.93,0,1507.61,0,12.92,124.98,4077.39,1.7,0,15.76,44.91,74.83,515.22,1.52,0,1.24,2079.69,3.4,4.4,22.89,367.41,46.81,0,7.96,12.37,5.68,0,5.04,0,0,234.17,0,18.98,290.21,0,12.7
 72-82,0,0,0,0,26.03,5.98,0,1378.67,1.62,10.58,194.82,9792.83,2.52,0,11.95,30.7,130.5,336.8,0.97,8.18,0,2820.84,21.33,19.73,25.98,417.09,0.73,1.18,57.07,12.55,18.43,0,11.18,0,0,371.32,16.22,77.03,510.61,4.55,13.77
 84-94,0,0,0,0,48.75,9.71,0,1700.32,0,4.02,90.45,6839.74,3.37,0.66,0,66.56,258.8,490.07,0,3.28,5.59,2519.9,13.4,11.82,17.28,264.42,1.34,0.71,24.38,14.58,12.7,0,18.39,1.18,0,277.09,18.01,88.25,532.44,10.86,8
 96-106,0,0,1.17,0,186.6,30.54,8.28,1754.02,3.03,10.94,101.42,11155.24,6.24,0,5.51,67.01,232.49,443.89,5.03,33.65,7.1,2567.89,10.51,19.67,28.92,521.23,9.18,5.54,55.97,16.29,27.71,0,23.89,8.07,0,437.07,1.31,158.86,608.85,1.58,0
108-118,0,0,0,0,57.21,16.4,5.37,1571.5,0,8.77,119.19,11647.85,7.82,0,5.11,61.1,259.6,517.63,2.75,10.34,0,2648.39,9.41,10.32,23.51,478.91,18.61,0,44.33,43.46,19.21,0,12.01,1.33,0,293.24,9.34,244.07,555.25,2.08,12.65
120,2.82,0,0,0,29.16,29.35,0,1196.38,0,1.73,112.02,15121.51,18.54,0,22.24,172.53,130.55,374.85,4.79,11.28,0,2063.45,11.34,40.93,18.63,540.45,2.54,0,4.35,2.63,7.63,0,8.11,0,0,328.79,19.89,93.15,549.08,11.1,4.69
