stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,0,155.63,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0
  5-6,6.1,76.46,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.45,0,4.03,0,7.43,0,0,0,0,0,45.11,0,17.03,0,0,0,0,0,0
 10-12,0,0,15.98,0,4.92,0,0,0,0,0,36.29,0,20.82,0,10.74,17.28,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,4.61,0,0
 24-34,0,0,0,0.62,0,0,0,0,0.6,0,14.8,0,0,0,0,0,0,0.63,2.68
 36-46,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,3.58,0,1.82,0,0,0,3.74,0,0,0,0,0,0,0,3.58
 60-70,0,0,0,0,0,0,0,0,0,0,2.51,0.85,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.68,0,1.65,0,0.51,0,5.31,0,0,0,0,0,0,0,2.16
 96-106,0,0,0,0,1.38,0,1.47,0,0,2.02,10.34,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.81,0.55,0,0,0,0,3.42,0,0,0,0,0,0,0,0
120,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
