stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0.71,0,0,0,0,0,1.5
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,2.5,0,0,1.17,0,0,0,0,0,0
 48-58,0,0,0,29.37,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0.96,0,0,0
 60-70,0,0,0,347.84,0,0,0,0,0,0,0,0,1.06,0,0,3.79,0,0,0,0,0,0,0,0,0
 72-82,1.13,4.97,0,588.42,0,0,3.69,0.89,0,0,1.68,0,6.25,0,0,14.97,0,0,1.2,0,0,1.16,0,0,0.6
 84-94,5.34,0,0,761.54,0,0,2.54,0,0,0,0,0,5.84,0,0,36.16,0,0,2.93,1.07,0,1.54,2.8,1.67,0
 96-106,19.64,9.23,0,987.81,7.32,0,3.58,0,0.74,0,0,4.97,2.79,2.74,0.66,16.7,0,0,1.38,0,0.68,0,0,0,2.81
108-118,1.32,2.31,3.05,1036.84,0,0,3.98,0,0,2.45,0,5.35,5.17,0,1.25,45.13,1,4.42,0,0,0,0,0,0,1.1
120,12,4.03,0,1658.68,0,4.42,0,0,0,0,8.05,0,11.24,0,1.66,74.97,0,0,2.1,3.06,0,0,0,0,0
